Region,Region code,Province,Province code,"Annual Per Capita Poverty Threshold 
(in PhP)  2015u ","Annual Per Capita Poverty Threshold 
(in PhP)  2018u ",Poverty Incidence among Families Estimates (%) 2015u,Poverty Incidence among Families Estimates (%) 2018u ,Poverty Incidence among Families Coefficient of Variation 2015u ,Poverty Incidence among Families Coefficient of Variation 2018u ,Poverty Incidence among Families Standard Error 2015u ,Poverty Incidence among Families Standard Error 2018u ,Poverty Incidence among Families 90% Confidence Interval 2015u Lower Limit,Poverty Incidence among Families 90% Confidence Interval 2015u Upper Limit,Poverty Incidence among Families 90% Confidence Interval 2018u Lower Limit,Poverty Incidence among Families 90% Confidence Interval 2018u Upper Limit,Magnitude of Poor Families Estimate ('000) 2015u ,Magnitude of Poor Families Estimate ('000) 2018u ,Magnitude of Poor Families Coefficient of Variation 2015u ,Magnitude of Poor Families Coefficient of Variation 2018u ,Magnitude of Poor Families Standard Error 2015u ,Magnitude of Poor Families Standard Error 2018u ,Magnitude of Poor Families 90% Confidence Interval 2015u Lower Limit,Magnitude of Poor Families 90% Confidence Interval 2015u Upper Limit,Magnitude of Poor Families 90% Confidence Interval 2018u Lower Limit,Magnitude of Poor Families 90% Confidence Interval 2018u Upper Limit,,,,,
REGION X (NORTHERN MINDANAO)*,PH100000000,Lanao del Norte*,PH103500000," 22,485 "," 24,450 ",38.1, 19.0 ,14.3, 6.9 ,5.4, 1.3 ,29.2,47.1, 16.9 , 21.2 , 78.2 , 44.3 , 24.7 , 7.1 ,19.3, 3.1 , 46.4 , 110.0 , 39.1 , 49.4 ,,,,,
REGION X (NORTHERN MINDANAO)*,PH100000000,Misamis Occidental*,PH104200000," 22,261 "," 24,505 ",36.8, 19.5 ,10.3, 8.7 ,3.8, 1.7 ,30.5,43.1, 16.7 , 22.3 , 45.5 , 27.3 , 26.0 , 9.4 ,11.8, 2.6 , 26.0 , 64.9 , 23.1 , 31.5 ,,,,,
REGION X (NORTHERN MINDANAO)*,PH100000000,Misamis Oriental*,PH104300000," 22,117 "," 24,118 ",16.5, 11.4 ,12.6, 7.4 ,2.1, 0.8 ,13.1,19.9, 10.1 , 12.8 , 65.4 , 45.4 , 20.5 , 7.9 ,13.4, 3.6 , 43.4 , 87.5 , 39.5 , 51.3 ,,,,,
REGION XI (DAVAO REGION)*,PH110000000,Davao del Norte*,PH112300000," 23,807 "," 27,034 ",24.3,10.3,16.6,13.3,4.0, 1.4 ,17.7,31.0, 8.0 , 12.5 , 50.0 , 25.0 , 22.9 , 14.4 ,11.5, 3.6 , 31.1 , 68.8 , 19.1 , 30.9 ,,,,,
REGION XI (DAVAO REGION)*,PH110000000,Davao del Sur*,PH112400000," 23,215 "," 25,807 ",14.8,8.1,12.8,14.3,1.9, 1.2 ,11.7,17.9, 6.2 , 10.0 , 104.0 , 51.7 , 13.4 , 15.7 ,14.0, 8.1 , 81.0 , 127.1 , 38.4 , 65.1 ,,,,,
REGION XI (DAVAO REGION)*,PH110000000,Davao Oriental,PH112500000," 22,889 "," 26,347 ",22.5,27.7,16.2,6.7,3.6, 1.8 ,16.5,28.5, 24.7 , 30.7 , 27.5 , 21.6 , 29.1 , 7.6 ,8.0, 1.6 , 14.4 , 40.7 , 18.9 , 24.2 ,,,,,
REGION XI (DAVAO REGION)*,PH110000000,Compostela Valley,PH118200000," 22,092 "," 25,867 ",20.8,18.6,12.7,8.4,2.6, 1.6 ,16.4,25.2, 16.0 , 21.1 , 30.5 , 33.2 , 24.6 , 9.5 ,7.5, 3.2 , 18.2 , 42.8 , 28.0 , 38.4 ,,,,,
REGION XI (DAVAO REGION)*,PH110000000,Davao Occidentald/,PH118600000,," 25,356 ",,31.9,,6.8,, 2.2 ,,, 28.3 , 35.4 ,  , 47.0 ,, 7.2 ,, 3.4 ,  ,  , 41.4 , 52.6 ,,,,,
REGION XII (SOCCSKSARGEN)*,PH120000000,North Cotabato*,PH124700000," 21,237 "," 25,020 ",36.5, 23.6 ,9.1, 10.6 ,3.3,2.5,31.1,42.0,19.5,27.7, 115.2 , 83.1 , 20.2 , 10.8 ,23.3,9.0, 76.8 , 153.5 , 68.3 , 97.9 ,,,,,
REGION XII (SOCCSKSARGEN)*,PH120000000,Sarangani,PH128000000," 20,037 "," 23,282 ",45.2, 36.1 ,12.0, 9.0 ,5.4, 3.3 ,36.3,54.2, 30.7 , 41.4 , 47.0 , 48.3 , 27.8 , 10.3 ,13.1, 5.0 , 25.5 , 68.4 , 40.1 , 56.5 ,,,,,
