Region,Region code,Province  ,Province code,Municipality/City  ,Municipality/City Code,Poverty Incidence_2009,Poverty Incidence_2012,Poverty Incidence_2015,Coefficient of Variation_2009,Coefficient of Variation_2012,Coefficient of Variation_2015,90% Confidence Interval_2009 Lower Limit,90% Confidence Interval_2009 Upper Limit,90% Confidence Interval_2012 Lower Limit,90% Confidence Interval_2012 Upper Limit2,90% Confidence Interval_2015 Lower Limit,90% Confidence Interval_2015 Upper Limit,Longitude,Latitude,
Region X (Northern Mindanao),PH100000000,Misamis Occidental,PH104200000,Jimenez,PH104207000,40.9,28.0,23.6,8.6,12.1,12.3,35.1,46.6,22.4,33.5,18.8,28.4,123.7620,8.3267,
Region X (Northern Mindanao),PH100000000,Misamis Occidental,PH104200000,Lopez Jaena,PH104208000,49.3,44.2,39.6,7.2,8.4,9.9,43.4,55.1,38.1,50.3,33.2,46.1,123.7084,8.5221,
Region X (Northern Mindanao),PH100000000,Misamis Occidental,PH104200000,City of Oroquieta (Capital),PH104209000,30.7,22.2,20.9,10.2,10.7,10.7,25.5,35.8,18.3,26.2,17.2,24.6,123.7332,8.4511,
Region X (Northern Mindanao),PH100000000,Misamis Occidental,PH104200000,City of Ozamiz,PH104210000,29.8,20.9,17.8,8.1,10.7,12.6,25.8,33.7,17.3,24.6,14.1,21.5,123.7766,8.1560,
Region X (Northern Mindanao),PH100000000,Misamis Occidental,PH104200000,Panaon,PH104211000,40.2,31.8,27.8,10.7,12.1,13.6,33.1,47.3,25.5,38.1,21.6,34.0,123.8023,8.3664,
Region X (Northern Mindanao),PH100000000,Misamis Occidental,PH104200000,Plaridel,PH104212000,35.2,37.4,34.5,8.5,11.1,11.2,30.3,40.1,30.6,44.2,28.1,40.8,123.6916,8.5878,
Region X (Northern Mindanao),PH100000000,Misamis Occidental,PH104200000,Sapang Dalaga,PH104213000,43.9,46.6,41.4,7.5,9.0,12.1,38.4,49.3,39.7,53.5,33.2,49.6,123.5883,8.5135,
Region X (Northern Mindanao),PH100000000,Misamis Occidental,PH104200000,Sinacaban,PH104214000,38.9,38.3,29.5,8.8,11.4,13.6,33.2,44.5,31.2,45.5,22.9,36.1,123.8036,8.2894,
Region X (Northern Mindanao),PH100000000,Misamis Occidental,PH104200000,City of Tangub,PH104215000,43.1,39.3,35.5,5.8,8.4,8.9,39.0,47.2,33.9,44.8,30.3,40.7,123.6875,8.1046,
Region X (Northern Mindanao),PH100000000,Misamis Occidental,PH104200000,Tudela,PH104216000,38.0,38.1,34.5,8.4,7.5,10.1,32.8,43.3,33.4,42.8,28.8,40.2,123.7517,8.2498,
Region X (Northern Mindanao),PH100000000,Misamis Occidental,PH104200000,Don Victoriano Chiongbian  (Don Mariano Marcos),PH104217000,65.7,67.3,59.1,7.8,9.9,8.5,57.2,74.1,56.3,78.2,50.8,67.4,123.6101,8.2663,
Region X (Northern Mindanao),PH100000000,Misamis Oriental,PH104300000,Alubijid,PH104301000,53.7,35.4,36.5,7.4,13.4,8.3,47.2,60.2,27.6,43.2,31.5,41.5,124.4151,8.4553,
Region X (Northern Mindanao),PH100000000,Misamis Oriental,PH104300000,Balingasag,PH104302000,51.2,37.7,35.8,5.2,10.8,8.4,46.8,55.6,31.0,44.4,30.8,40.7,124.8445,8.7461,
Region X (Northern Mindanao),PH100000000,Misamis Oriental,PH104300000,Balingoan,PH104303000,46.4,33.3,32.6,11.9,17.8,9.5,37.3,55.4,23.5,43.0,27.5,37.7,124.8859,8.9125,
Region X (Northern Mindanao),PH100000000,Misamis Oriental,PH104300000,Binuangan,PH104304000,52.7,28.7,26.5,12.0,24.3,9.2,42.3,63.1,17.2,40.2,22.5,30.5,124.7978,8.9194,
Region X (Northern Mindanao),PH100000000,Misamis Oriental,PH104300000,City of Cagayan De Oro (Capital),PH104305000,22.8,7.7,8.9,9.8,22.5,15.0,19.1,26.4,4.9,10.6,6.7,11.0,124.6293,8.4675,
Region X (Northern Mindanao),PH100000000,Misamis Oriental,PH104300000,Claveria,PH104306000,57.1,39.1,44.0,6.0,13.1,9.4,51.4,62.7,30.7,47.5,37.2,50.8,124.9913,8.6685,
Region X (Northern Mindanao),PH100000000,Misamis Oriental,PH104300000,City of El Salvador,PH104307000,38.8,23.7,27.1,9.7,19.0,13.7,32.6,45.0,16.3,31.1,20.9,33.2,124.4992,8.5136,
Region X (Northern Mindanao),PH100000000,Misamis Oriental,PH104300000,City of Gingoog,PH104308000,48.7,27.7,29.6,4.8,11.5,7.8,44.8,52.5,22.5,33.0,25.9,33.4,125.1003,8.7511,
Region X (Northern Mindanao),PH100000000,Misamis Oriental,PH104300000,Gitagum,PH104309000,50.3,35.0,41.6,9.8,15.1,13.8,42.1,58.4,26.3,43.7,32.1,51.0,124.3997,8.5603,
Region X (Northern Mindanao),PH100000000,Misamis Oriental,PH104300000,Initao,PH104310000,48.9,30.5,31.9,9.0,16.5,15.3,41.6,56.1,22.2,38.7,23.8,39.9,124.3434,8.4826,
Region X (Northern Mindanao),PH100000000,Misamis Oriental,PH104300000,Jasaan,PH104311000,42.1,26.1,30.0,9.9,16.7,12.6,35.2,49.0,18.9,33.3,23.8,36.2,124.7753,8.6549,
Region X (Northern Mindanao),PH100000000,Misamis Oriental,PH104300000,Kinoguitan,PH104312000,55.7,27.6,26.4,7.1,18.3,9.3,49.2,62.2,19.3,35.9,22.4,30.5,124.8059,8.9760,
Region X (Northern Mindanao),PH100000000,Misamis Oriental,PH104300000,Lagonglong,PH104313000,49.9,32.3,32.5,9.2,15.9,18.2,42.4,57.4,23.9,40.8,22.7,42.2,124.8283,8.8077,
Region X (Northern Mindanao),PH100000000,Misamis Oriental,PH104300000,Laguindingan,PH104314000,52.2,35.4,36.4,9.9,15.3,12.1,43.7,60.7,26.5,44.3,29.2,43.7,124.4425,8.5918,
Region X (Northern Mindanao),PH100000000,Misamis Oriental,PH104300000,Libertad,PH104315000,55.5,47.1,46.5,10.0,16.3,9.3,46.4,64.6,34.4,59.8,39.4,53.6,124.3707,8.5304,
Region X (Northern Mindanao),PH100000000,Misamis Oriental,PH104300000,Lugait,PH104316000,40.6,21.3,19.3,14.3,25.8,10.4,31.1,50.1,12.2,30.3,16.0,22.6,124.2991,8.3405,
Region X (Northern Mindanao),PH100000000,Misamis Oriental,PH104300000,Magsaysay (Linugos),PH104317000,60.3,48.2,50.9,6.4,9.8,9.0,53.9,66.7,40.5,56.0,43.4,58.4,125.2056,8.9711,
Region X (Northern Mindanao),PH100000000,Misamis Oriental,PH104300000,Manticao,PH104318000,48.4,28.2,30.1,8.3,14.8,14.4,41.8,55.0,21.4,35.1,23.0,37.2,124.3580,8.3652,
Region X (Northern Mindanao),PH100000000,Misamis Oriental,PH104300000,Medina,PH104319000,41.0,19.3,18.6,8.1,17.0,11.0,35.5,46.4,13.9,24.6,15.2,22.0,124.9725,8.8873,
Region X (Northern Mindanao),PH100000000,Misamis Oriental,PH104300000,Naawan,PH104320000,45.7,25.9,25.0,11.1,17.2,9.3,37.4,54.0,18.6,33.2,21.2,28.8,124.3417,8.4191,
Region X (Northern Mindanao),PH100000000,Misamis Oriental,PH104300000,Opol,PH104321000,31.1,14.3,20.7,10.2,23.7,9.9,25.9,36.2,8.7,19.8,17.3,24.0,124.4999,8.4267,
Region X (Northern Mindanao),PH100000000,Misamis Oriental,PH104300000,Salay,PH104322000,47.1,27.9,25.9,9.9,16.1,9.1,39.4,54.7,20.5,35.2,22.0,29.8,124.8329,8.8606,
Region X (Northern Mindanao),PH100000000,Misamis Oriental,PH104300000,Sugbongcogon,PH104323000,45.4,40.6,36.6,12.8,17.2,18.4,35.8,54.9,29.1,52.1,25.5,47.7,124.7972,8.9457,
Region X (Northern Mindanao),PH100000000,Misamis Oriental,PH104300000,Tagoloan,PH104324000,35.9,14.0,19.4,13.1,28.1,8.3,28.2,43.7,7.5,20.4,16.8,22.1,124.7897,8.5353,
Region X (Northern Mindanao),PH100000000,Misamis Oriental,PH104300000,Talisayan,PH104325000,48.2,29.0,34.3,8.0,15.2,9.3,41.9,54.5,21.8,36.2,29.1,39.6,124.9087,8.9599,
Region X (Northern Mindanao),PH100000000,Misamis Oriental,PH104300000,Villanueva,PH104326000,40.5,20.2,22.1,9.7,24.4,15.4,34.0,46.9,12.1,28.3,16.5,27.7,124.7938,8.5763,
Region XI (Davao Region),PH110000000,Davao del Norte,PH112300000,Asuncion (Saug),PH112301000,41.0,39.2,33.1,10.2,9.3,11.7,34.1,47.9,33.2,45.2,26.7,39.5,125.7600,7.5896,
Region XI (Davao Region),PH110000000,Davao del Norte,PH112300000,Carmen,PH112303000,28.0,26.7,30.6,12.5,13.9,13.5,22.3,33.8,20.6,32.8,23.8,37.4,125.6815,7.3731,
Region XI (Davao Region),PH110000000,Davao del Norte,PH112300000,Kapalong,PH112305000,21.5,33.4,31.2,18.5,12.0,11.5,14.9,28.0,26.8,39.9,25.3,37.1,125.5495,7.8990,
Region XI (Davao Region),PH110000000,Davao del Norte,PH112300000,New Corella,PH112314000,38.2,41.6,40.1,11.6,9.8,11.1,30.9,45.5,34.9,48.2,32.7,47.4,125.8526,7.6025,
Region XI (Davao Region),PH110000000,Davao del Norte,PH112300000,City of Panabo,PH112315000,14.8,16.6,19.1,14.8,12.7,10.7,11.2,18.4,13.1,20.1,15.7,22.5,125.6292,7.3103,
Region XI (Davao Region),PH110000000,Davao del Norte,PH112300000,Island Garden City of Samal,PH112317000,32.8,28.5,28.5,8.6,7.2,9.7,28.2,37.5,25.2,31.9,24.0,33.1,125.7402,7.0634,
Region XI (Davao Region),PH110000000,Davao del Norte,PH112300000,Santo Tomas,PH112318000,23.5,21.7,23.3,17.9,15.5,14.0,16.6,30.4,16.2,27.3,17.9,28.6,125.6322,7.5113,
Region XI (Davao Region),PH110000000,Davao del Norte,PH112300000,City of Tagum (Capital),PH112319000,15.0,13.8,13.6,18.7,17.0,16.8,10.4,19.6,9.9,17.6,9.8,17.3,125.7958,7.4313,
Region XI (Davao Region),PH110000000,Davao del Norte,PH112300000,Talaingod,PH112322000,62.6,68.8,56.4,15.2,12.5,15.1,46.9,78.3,54.6,82.9,42.4,70.4,125.4993,7.6865,
Region XI (Davao Region),PH110000000,Davao del Norte,PH112300000,Braulio E. Dujali,PH112323000,40.8,29.4,29.6,17.5,20.0,23.8,29.1,52.6,19.7,39.0,18.1,41.2,125.6812,7.4397,
Region XI (Davao Region),PH110000000,Davao del Norte,PH112300000,San Isidro,PH112324000,53.6,43.2,42.2,10.3,10.8,11.8,44.5,62.7,35.5,50.9,34.0,50.4,125.7063,7.7489,
Region XI (Davao Region),PH110000000,Davao del Sur,PH112400000,Bansalan,PH112401000,21.3,23.7,19.8,14.6,12.3,15.4,16.2,26.5,18.9,28.5,14.8,24.9,125.2154,6.8410,
Region XI (Davao Region),PH110000000,Davao del Sur,PH112400000,City of Davao,PH112402000,13.2,10.6,9.2,9.4,9.8,8.9,11.2,15.3,8.9,12.3,7.9,10.5,125.4189,7.2644,
Region XI (Davao Region),PH110000000,Davao del Sur,PH112400000,City of Digos (Capital),PH112403000,18.8,14.7,14.2,13.9,16.8,13.3,14.5,23.0,10.6,18.8,11.1,17.3,125.3166,6.8394,
Region XI (Davao Region),PH110000000,Davao del Sur,PH112400000,Hagonoy,PH112404000,22.9,23.9,20.4,14.0,14.2,17.6,17.6,28.1,18.3,29.5,14.5,26.3,125.3049,6.6929,
Region XI (Davao Region),PH110000000,Davao del Sur,PH112400000,Kiblawan,PH112406000,57.4,52.9,29.2,6.5,8.4,13.4,51.2,63.6,45.6,60.2,22.8,35.6,125.2006,6.5311,
Region XI (Davao Region),PH110000000,Davao del Sur,PH112400000,Magsaysay,PH112407000,40.0,29.7,27.6,11.5,13.5,13.6,32.5,47.6,23.1,36.3,21.4,33.7,125.1190,6.7565,
Region XI (Davao Region),PH110000000,Davao del Sur,PH112400000,Malalag,PH112408000,41.2,35.6,17.3,9.6,12.5,19.9,34.7,47.8,28.2,42.9,11.6,22.9,125.4093,6.5414,
Region XI (Davao Region),PH110000000,Davao del Sur,PH112400000,Matanao,PH112410000,40.7,25.7,25.1,8.0,9.6,12.6,35.4,46.0,21.6,29.7,19.9,30.3,125.1200,6.6142,
Region XI (Davao Region),PH110000000,Davao del Sur,PH112400000,Padada,PH112411000,14.6,14.1,14.3,17.5,17.2,18.7,10.4,18.7,10.1,18.1,9.9,18.7,125.3421,6.6439,
Region XI (Davao Region),PH110000000,Davao del Sur,PH112400000,Santa Cruz,PH112412000,27.3,28.6,22.8,13.0,13.4,14.8,21.5,33.2,22.3,34.9,17.3,28.3,125.3986,6.9047,
Region XI (Davao Region),PH110000000,Davao del Sur,PH112400000,Sulop,PH112414000,36.9,37.1,21.4,10.9,8.5,14.9,30.2,43.5,31.9,42.3,16.2,26.7,125.3049,6.5789,
Region XI (Davao Region),PH110000000,Davao Oriental,PH112500000,Baganga,PH112501000,44.0,26.2,33.7,10.5,13.1,13.2,36.4,51.6,20.5,31.8,26.4,41.0,126.4345,7.5684,
Region XI (Davao Region),PH110000000,Davao Oriental,PH112500000,Banaybanay,PH112502000,32.5,34.2,28.7,13.6,13.1,15.1,25.2,39.8,26.8,41.6,21.6,35.9,126.0219,7.0502,
Region XI (Davao Region),PH110000000,Davao Oriental,PH112500000,Boston,PH112503000,36.6,27.6,29.3,15.0,17.7,18.0,27.5,45.6,19.5,35.6,20.6,38.0,126.2699,7.9166,
Region XI (Davao Region),PH110000000,Davao Oriental,PH112500000,Caraga,PH112504000,58.0,51.6,36.0,7.0,10.2,11.3,51.3,64.7,42.9,60.3,29.3,42.6,126.4302,7.3597,
Region XI (Davao Region),PH110000000,Davao Oriental,PH112500000,Cateel,PH112505000,53.5,28.8,30.6,8.9,12.9,15.3,45.7,61.3,22.7,34.9,22.9,38.3,126.3446,7.7576,
Region XI (Davao Region),PH110000000,Davao Oriental,PH112500000,Governor Generoso,PH112506000,55.7,38.7,34.4,8.9,10.3,14.7,47.6,63.9,32.1,45.2,26.1,42.7,126.1370,6.5392,
Region XI (Davao Region),PH110000000,Davao Oriental,PH112500000,Lupon,PH112507000,42.9,32.8,24.7,10.6,12.1,13.2,35.4,50.4,26.3,39.4,19.4,30.1,126.1419,7.1087,
Region XI (Davao Region),PH110000000,Davao Oriental,PH112500000,Manay,PH112508000,58.7,58.1,35.2,8.4,9.7,14.5,50.6,66.7,48.9,67.3,26.8,43.6,126.4322,7.2093,
Region XI (Davao Region),PH110000000,Davao Oriental,PH112500000,City of Mati (Capital),PH112509000,33.9,27.0,18.7,11.1,13.1,14.4,27.7,40.1,21.2,32.8,14.3,23.1,126.3082,6.8471,
Region XI (Davao Region),PH110000000,Davao Oriental,PH112500000,San Isidro,PH112510000,47.4,35.2,34.3,11.0,12.4,12.8,38.8,56.0,28.0,42.4,27.1,41.6,126.1262,6.7920,
Region XI (Davao Region),PH110000000,Davao Oriental,PH112500000,Tarragona,PH112511000,62.3,56.9,34.9,8.6,9.7,16.8,53.5,71.1,47.8,66.0,25.2,44.6,126.3778,7.0809,
Region XI (Davao Region),PH110000000,Compostela Valley,PH118200000,Compostela,PH118201000,26.5,27.0,27.6,17.7,14.7,17.2,18.8,34.3,20.5,33.6,19.8,35.4,126.1547,7.6887,
Region XI (Davao Region),PH110000000,Compostela Valley,PH118200000,Laak (San Vicente),PH118202000,54.7,53.8,41.1,7.8,8.4,9.4,47.6,61.7,46.4,61.2,34.8,47.5,125.7997,7.8630,
Region XI (Davao Region),PH110000000,Compostela Valley,PH118200000,Mabini (Doña Alicia),PH118203000,29.8,32.1,29.5,13.9,12.2,15.7,23.0,36.6,25.6,38.5,21.9,37.1,125.9400,7.3002,
Region XI (Davao Region),PH110000000,Compostela Valley,PH118200000,Maco,PH118204000,30.6,29.6,23.3,8.6,9.3,10.6,26.2,34.9,25.1,34.1,19.2,27.3,125.9428,7.4039,
Region XI (Davao Region),PH110000000,Compostela Valley,PH118200000,Maragusan (San Mariano),PH118205000,35.6,31.2,27.6,13.2,12.9,13.7,27.8,43.3,24.6,37.8,21.4,33.8,126.1646,7.3382,
Region XI (Davao Region),PH110000000,Compostela Valley,PH118200000,Mawab,PH118206000,32.7,32.2,24.9,13.8,12.9,17.3,25.2,40.1,25.3,39.0,17.8,32.0,125.9360,7.5050,
Region XI (Davao Region),PH110000000,Compostela Valley,PH118200000,Monkayo,PH118207000,32.9,25.9,30.8,12.7,12.5,13.0,26.1,39.8,20.6,31.2,24.2,37.4,126.0707,7.8653,
Region XI (Davao Region),PH110000000,Compostela Valley,PH118200000,Montevista,PH118208000,41.3,40.2,33.4,11.1,9.7,12.5,33.8,48.8,33.8,46.6,26.5,40.2,125.9693,7.7423,
Region XI (Davao Region),PH110000000,Compostela Valley,PH118200000,Nabunturan (Capital),PH118209000,28.3,24.4,22.7,13.7,12.8,14.2,21.9,34.7,19.3,29.6,17.4,28.0,126.0502,7.5044,
Region XI (Davao Region),PH110000000,Compostela Valley,PH118200000,New Bataan,PH118210000,42.0,32.9,31.3,13.0,13.3,12.7,33.0,51.0,25.7,40.1,24.7,37.8,126.1803,7.5229,
Region XI (Davao Region),PH110000000,Compostela Valley,PH118200000,Pantukan,PH118211000,28.3,36.5,26.2,17.0,13.3,14.7,20.4,36.1,28.5,44.4,19.9,32.5,126.0401,7.2023,
Region XI (Davao Region),PH110000000,Davao Occidental,PH118600000,Don Marcelino,PH118601000,66.5,73.8,59.6,8.1,6.7,12.3,57.7,75.4,65.7,81.9,47.5,71.7,125.6370,6.1418,
Region XI (Davao Region),PH110000000,Davao Occidental,PH118600000,Jose Abad Santos (Trinidad),PH118602000,72.3,75.5,65.4,5.6,7.2,11.0,65.6,79.0,66.5,84.5,53.5,77.2,125.5255,5.8459,
Region XI (Davao Region),PH110000000,Davao Occidental,PH118600000,Malita (Capital),PH118603000,63.8,60.8,57.3,5.5,7.4,12.9,58.0,69.6,53.4,68.2,45.2,69.4,125.5435,6.3193,
Region XI (Davao Region),PH110000000,Davao Occidental,PH118600000,Santa Maria,PH118604000,48.5,50.7,55.0,9.0,9.8,14.4,41.4,55.7,42.5,58.9,42.0,68.1,125.4651,6.4933,
Region XI (Davao Region),PH110000000,Davao Occidental,PH118600000,Sarangani,PH118605000,72.1,65.9,59.5,6.9,8.4,13.5,64.0,80.3,56.8,75.0,46.3,72.7,125.3876,5.3996,
Region XII (SOCCSKSARGEN),PH120000000,Cotabato (North Cotabato),PH124700000,Alamada,PH124701000,44.6,54.3,44.1,9.9,8.5,8.6,37.3,51.9,46.7,61.9,37.8,50.3,124.5807,7.4746,
Region XII (SOCCSKSARGEN),PH120000000,Cotabato (North Cotabato),PH124700000,Carmen,PH124702000,50.4,56.4,52.3,11.2,7.3,4.7,41.1,59.7,49.6,63.2,48.3,56.4,124.7669,7.3126,
Region XII (SOCCSKSARGEN),PH120000000,Cotabato (North Cotabato),PH124700000,Kabacan,PH124703000,35.0,38.0,36.9,9.5,9.2,7.2,29.6,40.5,32.3,43.7,32.5,41.2,124.8536,7.1728,
Region XII (SOCCSKSARGEN),PH120000000,Cotabato (North Cotabato),PH124700000,City of Kidapawan (Capital),PH124704000,19.2,27.7,19.1,13.7,11.7,9.5,14.9,23.5,22.4,33.1,16.1,22.0,125.0657,7.0375,
Region XII (SOCCSKSARGEN),PH120000000,Cotabato (North Cotabato),PH124700000,Libungan,PH124705000,32.1,39.6,37.1,11.9,8.9,7.5,25.8,38.4,33.8,45.4,32.6,41.7,124.5441,7.2883,
Region XII (SOCCSKSARGEN),PH120000000,Cotabato (North Cotabato),PH124700000,Magpet,PH124706000,36.7,48.9,42.2,10.3,8.2,4.6,30.4,42.9,42.3,55.5,39.0,45.4,125.1774,7.1322,
Region XII (SOCCSKSARGEN),PH120000000,Cotabato (North Cotabato),PH124700000,Makilala,PH124707000,23.2,39.4,32.2,11.5,7.8,6.7,18.8,27.6,34.3,44.5,28.6,35.7,125.1125,6.9321,
Region XII (SOCCSKSARGEN),PH120000000,Cotabato (North Cotabato),PH124700000,Matalam,PH124708000,34.9,43.0,40.5,9.1,7.4,5.6,29.7,40.1,37.8,48.3,36.7,44.2,124.9498,7.2005,
Region XII (SOCCSKSARGEN),PH120000000,Cotabato (North Cotabato),PH124700000,Midsayap,PH124709000,33.0,39.6,39.2,8.6,6.1,4.3,28.3,37.7,35.6,43.5,36.4,42.0,124.5239,7.1522,
Region XII (SOCCSKSARGEN),PH120000000,Cotabato (North Cotabato),PH124700000,M'lang,PH124710000,34.5,38.3,31.6,9.1,6.8,6.8,29.4,39.7,34.0,42.5,28.1,35.1,124.9024,6.9407,
Region XII (SOCCSKSARGEN),PH120000000,Cotabato (North Cotabato),PH124700000,Pigkawayan,PH124711000,39.0,41.9,38.8,8.7,6.9,5.4,33.4,44.6,37.1,46.6,35.4,42.2,124.4309,7.3082,
Region XII (SOCCSKSARGEN),PH120000000,Cotabato (North Cotabato),PH124700000,Pikit,PH124712000,48.5,57.8,58.8,7.3,7.3,2.9,42.7,54.4,50.9,64.7,56.0,61.6,124.6447,7.0537,
Region XII (SOCCSKSARGEN),PH120000000,Cotabato (North Cotabato),PH124700000,President Roxas,PH124713000,35.3,47.6,41.6,10.8,7.9,6.8,29.0,41.6,41.4,53.7,36.9,46.2,125.0477,7.3620,
Region XII (SOCCSKSARGEN),PH120000000,Cotabato (North Cotabato),PH124700000,Tulunan,PH124714000,38.2,45.4,38.6,9.6,7.0,6.2,32.2,44.3,40.2,50.6,34.6,42.5,124.9572,6.8171,
Region XII (SOCCSKSARGEN),PH120000000,Cotabato (North Cotabato),PH124700000,Antipas,PH124715000,30.9,41.1,30.5,14.9,12.2,10.0,23.3,38.4,32.9,49.3,25.5,35.5,125.0679,7.2641,
Region XII (SOCCSKSARGEN),PH120000000,Cotabato (North Cotabato),PH124700000,Banisilan,PH124716000,43.8,45.4,47.9,10.2,10.5,6.4,36.4,51.1,37.6,53.3,42.9,52.9,124.7168,7.4827,
Region XII (SOCCSKSARGEN),PH120000000,Cotabato (North Cotabato),PH124700000,Aleosan,PH124717000,47.1,58.2,50.9,10.8,8.8,5.7,38.7,55.4,49.7,66.6,46.1,55.6,124.6219,7.1721,
Region XII (SOCCSKSARGEN),PH120000000,Cotabato (North Cotabato),PH124700000,Arakan,PH124718000,48.0,53.9,44.3,9.8,7.6,5.7,40.3,55.8,47.1,60.7,40.1,48.5,125.1766,7.3533,
Region XII (SOCCSKSARGEN),PH120000000,South Cotabato,PH126300000,Banga,PH126302000,31.3,30.9,34.4,11.4,12.4,8.3,25.4,37.1,24.5,37.2,29.7,39.1,124.7926,6.4071,
Region XII (SOCCSKSARGEN),PH120000000,South Cotabato,PH126300000,City of General Santos (Dadiangas),PH126303000,22.5,19.3,23.5,13.1,17.8,9.7,17.7,27.3,13.6,25.0,19.7,27.2,125.1998,6.1933,
Region XII (SOCCSKSARGEN),PH120000000,South Cotabato,PH126300000,City of Koronadal (Capital),PH126306000,21.7,21.7,22.4,12.5,13.1,9.3,17.2,26.1,17.0,26.4,19.0,25.8,124.8845,6.4789,
Region XII (SOCCSKSARGEN),PH120000000,South Cotabato,PH126300000,Norala,PH126311000,33.1,28.5,31.0,12.5,16.0,9.5,26.3,39.9,21.0,36.0,26.2,35.8,124.6789,6.5312,
Region XII (SOCCSKSARGEN),PH120000000,South Cotabato,PH126300000,Polomolok,PH126312000,22.8,22.8,24.6,15.1,19.1,10.6,17.1,28.5,15.6,30.0,20.3,28.9,125.0817,6.2605,
Region XII (SOCCSKSARGEN),PH120000000,South Cotabato,PH126300000,Surallah,PH126313000,30.5,32.0,33.9,11.1,11.9,10.1,25.0,36.1,25.7,38.3,28.3,39.6,124.7192,6.3374,
Region XII (SOCCSKSARGEN),PH120000000,South Cotabato,PH126300000,Tampakan,PH126314000,33.1,37.3,36.6,11.9,11.7,9.9,26.6,39.5,30.1,44.4,30.6,42.5,125.0194,6.4697,
Region XII (SOCCSKSARGEN),PH120000000,South Cotabato,PH126300000,Tantangan,PH126315000,38.2,35.4,35.8,11.5,13.0,8.6,31.0,45.4,27.8,43.0,30.7,40.9,124.7726,6.5453,
Region XII (SOCCSKSARGEN),PH120000000,South Cotabato,PH126300000,T'boli,PH126316000,52.7,60.2,59.0,7.3,7.6,4.6,46.4,59.0,52.7,67.7,54.5,63.4,124.8722,6.1377,
Region XII (SOCCSKSARGEN),PH120000000,South Cotabato,PH126300000,Tupi,PH126317000,34.7,32.9,39.2,12.8,11.8,8.6,27.4,42.0,26.5,39.3,33.7,44.8,124.9825,6.3502,
Region XII (SOCCSKSARGEN),PH120000000,South Cotabato,PH126300000,Santo Niño,PH126318000,32.1,28.0,25.3,14.5,18.0,12.9,24.5,39.8,19.7,36.2,20.0,30.7,124.6682,6.4573,
Region XII (SOCCSKSARGEN),PH120000000,South Cotabato,PH126300000,Lake Sebu,PH126319000,52.8,63.5,64.0,10.5,10.5,4.9,43.7,62.0,52.5,74.4,58.9,69.1,124.5899,6.2444,
Region XII (SOCCSKSARGEN),PH120000000,Sultan Kudarat,PH126500000,Bagumbayan,PH126501000,46.9,47.6,40.2,9.5,8.9,8.2,39.6,54.3,40.7,54.6,34.8,45.6,124.5193,6.4688,
Region XII (SOCCSKSARGEN),PH120000000,Sultan Kudarat,PH126500000,Columbio,PH126502000,54.4,54.7,50.3,10.5,7.9,6.7,45.0,63.8,47.5,61.8,44.7,55.8,125.0142,6.6368,
Region XII (SOCCSKSARGEN),PH120000000,Sultan Kudarat,PH126500000,Esperanza,PH126503000,33.2,38.6,33.4,10.5,8.7,7.5,27.5,39.0,33.1,44.1,29.3,37.5,124.4370,6.7009,
Region XII (SOCCSKSARGEN),PH120000000,Sultan Kudarat,PH126500000,Isulan (Capital),PH126504000,26.8,29.9,25.8,12.3,12.9,10.1,21.3,32.2,23.6,36.3,21.5,30.0,124.4456,6.6119,
Region XII (SOCCSKSARGEN),PH120000000,Sultan Kudarat,PH126500000,Kalamansig,PH126505000,50.6,51.0,53.8,9.6,9.8,5.7,42.6,58.6,42.7,59.2,48.7,58.9,124.1607,6.5099,
Region XII (SOCCSKSARGEN),PH120000000,Sultan Kudarat,PH126500000,Lebak,PH126506000,46.0,50.9,51.7,8.1,7.5,4.7,39.9,52.1,44.6,57.2,47.7,55.6,124.1599,6.6697,
Region XII (SOCCSKSARGEN),PH120000000,Sultan Kudarat,PH126500000,Lutayan,PH126507000,51.1,51.3,54.0,11.0,9.3,7.0,41.8,60.3,43.4,59.1,47.8,60.3,124.8695,6.5808,
Region XII (SOCCSKSARGEN),PH120000000,Sultan Kudarat,PH126500000,Lambayong (Mariano Marcos),PH126508000,41.4,42.1,43.0,9.4,8.2,5.7,35.0,47.8,36.4,47.8,38.9,47.0,124.6313,6.7909,
Region XII (SOCCSKSARGEN),PH120000000,Sultan Kudarat,PH126500000,Palimbang,PH126509000,63.7,57.6,64.3,6.2,9.7,3.1,57.2,70.2,48.4,66.8,61.0,67.6,124.2523,6.2927,
Region XII (SOCCSKSARGEN),PH120000000,Sultan Kudarat,PH126500000,President Quirino,PH126510000,31.7,32.7,30.1,13.1,10.3,8.8,24.9,38.6,27.2,38.3,25.8,34.5,124.7331,6.7180,
Region XII (SOCCSKSARGEN),PH120000000,Sultan Kudarat,PH126500000,City of Tacurong,PH126511000,18.5,22.2,16.4,13.6,14.4,13.8,14.3,22.6,16.9,27.4,12.6,20.1,124.6729,6.6559,
Region XII (SOCCSKSARGEN),PH120000000,Sultan Kudarat,PH126500000,Sen. Ninoy Aquino,PH126512000,47.6,54.6,51.0,9.6,8.7,5.2,40.1,55.1,46.8,62.4,46.6,55.3,124.3443,6.4302,
