Region,Region code,Province,Province code,Notes,"2015*_Annual Per Capita Poverty Threshold 
(in Pesos)","2018_Annual Per Capita Poverty Threshold 
(in Pesos)",2015* Estimate_Poverty Incidence among Families (%),2018 Estimate_Poverty Incidence among Families (%),2015*_CV,2018_CV,2015*_Standard Error ,2018_Standard Error ,2015*_90% CI_Lower limit,2015*_90% CI_Upper limit,2018_90% CI_Lower limit,2018_90% CI_Upper limit,"2015*_Estimate_Magnitude of Poor Families
(in thousands)","2018_Estimate_Magnitude of Poor Families
(in thousands)",2015*_Standard Error,2018_Standard Error,2015*_90% CI_Lower limit ,2015*_90% CI_Upper limit ,2018_90% CI_Lower limit ,2018_90% CI_Upper limit 
REGION XII (SOCCSKSARGEN),PH120000000,COTABATO (NORTH COTABATO),PH124700000,,"21,170","25,015",36.5,23.5,9.1,10.6,3.3,2.5,31.1,42.0,19.4,27.6,115.2,82.9,23.3,9.0,76.8,153.5,68.1,97.6
REGION XII (SOCCSKSARGEN),PH120000000,SARANGANI,PH128000000,,"20,099","23,068",45.6,36.0,11.9,9.0,5.4,3.3,36.7,54.5,30.7,41.4,47.3,48.2,13.2,5.0,25.7,69.0,40.0,56.4
REGION XII (SOCCSKSARGEN),PH120000000,SOUTH COTABATO,PH126300000,,"21,342","25,216",18.3,13.7,12.8,10.9,2.3,1.5,14.5,22.1,11.2,16.1,74.5,53.8,13.4,6.2,52.4,96.6,43.7,64.0
REGION XII (SOCCSKSARGEN),PH120000000,SULTAN KUDARAT,PH126500000,,"21,222","23,751",41.2,24.2,18.1,8.2,7.5,2.0,28.9,53.5,20.9,27.5,74.9,46.3,22.1,4.3,38.6,111.3,39.2,53.4
REGION XII (SOCCSKSARGEN),PH120000000,COTABATO CITY (Not a Province),PH129800000,c/,"25,581","30,543",38.5,35.5,22.4,6.9,8.6,2.5,24.3,52.7,31.5,39.6,16.4,21.0,6.7,2.1,5.3,27.5,17.6,24.5
REGION XIII (Caraga),PH160000000,AGUSAN DEL NORTE,PH160200000,,"20,398","23,957",25.6,19.4,14.3,6.2,3.7,1.2,19.6,31.6,17.4,21.4,41.3,32.4,9.2,2.4,26.2,56.4,28.4,36.3
REGION XIII (Caraga),PH160000000,AGUSAN DEL SUR,PH160300000,,"23,003","24,567",37.0,30.4,10.2,7.2,3.8,2.2,30.8,43.2,26.8,34.0,50.6,50.2,10.1,4.0,33.9,67.2,43.7,56.7
REGION XIII (Caraga),PH160000000,SURIGAO DEL NORTE,PH166700000,,"24,652","28,170",28.8,27.4,12.0,6.7,3.5,1.8,23.1,34.5,24.4,30.4,32.8,32.5,9.3,2.3,17.5,48.1,28.7,36.2
REGION XIII (Caraga),PH160000000,SURIGAO DEL SUR,PH166800000,,"22,872","24,801",32.3,19.0,10.5,8.9,3.4,1.7,26.7,37.8,16.2,21.8,42.9,26.4,9.0,2.5,28.1,57.7,22.3,30.6
REGION XIII (Caraga),PH160000000,DINAGAT ISLANDS,PH168500000,c/,"24,257","26,408",34.6,26.6,21.4,10.3,7.4,2.7,22.4,46.8,22.1,31.1,10.2,7.9,4.9,0.8,2.2,18.3,6.5,9.3
