Region Code: AS
"Region Name: Asia"
Country Code: PHL
"Country Name: Philippines"
Export date: 4/17/2026 7:42:03 AM
Source location: "WHO Mortality Database portal"
Metadata information: 

Indicator Code,Indicator Name,Year,Sex,Age group code,Age Group,Number,Percentage of cause-specific deaths out of total deaths,"Age-standardized death rate per 100 000 standard population","Death rate per 100 000 population"
CG0060,Chlamydia,2000,Male,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0070,Gonorrhoea,2000,Male,Age_all,[All],1.00000000,0.00045997,0.01468026,0.00254577,
CG0080,Other STDs,2000,Male,Age_all,[All],1.00000000,0.00045997,0.00549715,0.00254577,
CG0090,HIV/AIDS,2000,Male,Age_all,[All],12.00000000,0.00551968,0.04529465,0.03054925,
CG0100,Diarrhoeal diseases,2000,Male,Age_all,[All],3094.00000000,1.42315689,9.82354105,7.87661484,
CG0110,Childhood-cluster diseases,2000,Male,Age_all,[All],1411.00000000,0.64902210,3.43173692,3.59208259,
CG0120,Pertussis,2000,Male,Age_all,[All],2.00000000,0.00091995,0.01581501,0.00509154,
CG0130,Poliomyelitis,2000,Male,Age_all,[All],16.00000000,0.00735957,0.05315148,0.04073233,
CG0140,Diphtheria,2000,Male,Age_all,[All],13.00000000,0.00597965,0.02124680,0.03309502,
CG0150,Measles,2000,Male,Age_all,[All],774.00000000,0.35601921,1.28073520,1.97042660,
CG0160,Tetanus,2000,Male,Age_all,[All],606.00000000,0.27874372,2.06078843,1.54273710,
CG0170,Meningitis,2000,Male,Age_all,[All],1061.00000000,0.48803150,2.43945241,2.70106281,
CG0180,Hepatitis B,2000,Male,Age_all,[All],591.00000000,0.27184412,2.36158485,1.50455054,
CG0190,Hepatitis C,2000,Male,Age_all,[All],9.00000000,0.00413976,0.04270130,0.02291194,
CG0200,Malaria,2000,Male,Age_all,[All],198.00000000,0.09107468,0.74244336,0.50406262,
CG0210,Tropical-cluster diseases,2000,Male,Age_all,[All],169.00000000,0.07773546,0.80656006,0.43023526,
CG0220,Trypanosomiasis,2000,Male,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0230,Chagas disease,2000,Male,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0240,Schistosomiasis,2000,Male,Age_all,[All],169.00000000,0.07773546,0.80656006,0.43023526,
CG0250,Leishmaniasis,2000,Male,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0260,lymphatic filariasis,2000,Male,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0270,Onchocerciasis,2000,Male,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0280,Leprosy,2000,Male,Age_all,[All],26.00000000,0.01195930,0.14903158,0.06619004,
CG0290,Dengue,2000,Male,Age_all,[All],214.00000000,0.09843425,0.46827799,0.54479495,
CG0300,Japanese encephalitis,2000,Male,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0310,Trachoma,2000,Male,Age_all,[All],1.00000000,0.00045997,0.00774702,0.00254577,
CG0320,Intestinal nematode infections,2000,Male,Age_all,[All],37.00000000,0.01701901,0.09975980,0.09419352,
CG0330,Ascariasis,2000,Male,Age_all,[All],26.00000000,0.01195930,0.04289465,0.06619004,
CG0340,Trichuriasis,2000,Male,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0350,Hookworm disease,2000,Male,Age_all,[All],8.00000000,0.00367979,0.04120763,0.02036617,
CG0360,Other intestinal infections,2000,Male,Age_all,[All],3.00000000,0.00137992,0.01565752,0.00763731,
CG0370,Other infectious diseases,2000,Male,Age_all,[All],3876.00000000,1.78285588,16.62102872,9.86740760,
CG0380,Respiratory infections,2000,Male,Age_all,[All],17714.00000000,8.14796416,120.09487501,45.09578386,
CG0390,Lower respiratory infections,2000,Male,Age_all,[All],17638.00000000,8.11300620,119.84772500,44.90230528,
CG0400,Upper respiratory infections,2000,Male,Age_all,[All],32.00000000,0.01471914,0.14202810,0.08146467,
CG0410,Otitis media,2000,Male,Age_all,[All],44.00000000,0.02023882,0.10512191,0.11201392,
CG0490,Perinatal conditions,2000,Male,Age_all,[All],8259.00000000,3.79891814,13.14493242,21.02552100,
CG0500,Low birth weight,2000,Male,Age_all,[All],3156.00000000,1.45167522,5.02305445,8.03445263,
CG0510,Birth asphyxia and birth trauma,2000,Male,Age_all,[All],1353.00000000,0.62234366,2.15341973,3.44442789,
CG0520,Other perinatal conditions,2000,Male,Age_all,[All],3751.00000000,1.72535924,5.97004983,9.54918625,
CG0530,Nutritional deficiencies,2000,Male,Age_all,[All],2118.00000000,0.97422311,12.73718490,5.39194254,
CG0540,Protein-energy malnutrition,2000,Male,Age_all,[All],1071.00000000,0.49263123,5.69867860,2.72652052,
CG0550,Iodine deficiency,2000,Male,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0560,Vitamin A deficiency,2000,Male,Age_all,[All],2.00000000,0.00091995,0.01025383,0.00509154,
CG0570,Iron-deficiency anaemia,2000,Male,Age_all,[All],794.00000000,0.36521867,4.96476294,2.02134201,
CG0580,Other nutritional disorders,2000,Male,Age_all,[All],251.00000000,0.11545326,2.06348953,0.63898847,
CG0590,Noncommunicable diseases,2000,Male,Age_all,[All],125744.00000000,57.83886221,770.72833313,320.11540285,
CG0600,Malignant neoplasms,2000,Male,Age_all,[All],19597.00000000,9.01409358,110.35614633,49.88947027,
CG0610,Mouth and oropharynx cancers,2000,Male,Age_all,[All],1209.00000000,0.55610752,6.94128183,3.07783689,
CG0611,a. Lip and oral cavity cancers,2000,Male,Age_all,[All],365.00000000,0.16789020,2.24434473,0.92920634,
CG0612,b. Nasopharynx cancers,2000,Male,Age_all,[All],322.00000000,0.14811135,1.56247751,0.81973820,
CG0613,c. Other pharynx cancer,2000,Male,Age_all,[All],522.00000000,0.24010598,3.13445958,1.32889236,
CG0620,Oesophagus cancer,2000,Male,Age_all,[All],224.00000000,0.10303398,1.36424288,0.57025266,
CG0630,Stomach cancer,2000,Male,Age_all,[All],896.00000000,0.41213593,5.44408109,2.28101063,
