Croatia,6,"Children estimates were not available at the time of publication.",4,"Children estimates were not available at the time of publication.",6,"Children estimates were not available at the time of publication.",7,"Children estimates were not available at the time of publication.",7,"Children estimates were not available at the time of publication.",6,"Children estimates were not available at the time of publication.",6,"Children estimates were not available at the time of publication.",5,"Children estimates were not available at the time of publication.",5,"Children estimates were not available at the time of publication.",5,"Children estimates were not available at the time of publication.",5,"Children estimates were not available at the time of publication.",6,"Children estimates were not available at the time of publication.",5,"Children estimates were not available at the time of publication.",5,"Children estimates were not available at the time of publication.",3,"Children estimates were not available at the time of publication."
Cuba,67,,120,,115,,108,,97,,157,,143,,151,,184,,187,,196,,179,,186,,215,,160,
Cyprus,...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication."
Czechia,...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication."
Côte d'Ivoire,11 561,,10 626,,13 294,,16 032,,17 763,,17 711,,16 894,,17 291,,16 499,,14 876,,13 499,,12 928,,11 989,,10 643,,10 001,
Democratic People's Republic of Korea,...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication."
Democratic Republic of the Congo,3643,,3568,,3738,,7802,,12 294,,14 466,,15 413,,13 939,,11 376,,14 546,,12 546,,11 331,,10 301,,9894,,9190,
Denmark,30,"Children estimates were not available at the time of publication.",27,"Children estimates were not available at the time of publication.",25,"Children estimates were not available at the time of publication.",23,"Children estimates were not available at the time of publication.",22,"Children estimates were not available at the time of publication.",22,"Children estimates were not available at the time of publication.",21,"Children estimates were not available at the time of publication.",20,"Children estimates were not available at the time of publication.",19,"Children estimates were not available at the time of publication.",17,"Children estimates were not available at the time of publication.",16,"Children estimates were not available at the time of publication.",16,"Children estimates were not available at the time of publication.",13,"Children estimates were not available at the time of publication.",13,"Children estimates were not available at the time of publication.",12,"Children estimates were not available at the time of publication."
Djibouti,38,,47,,42,,32,,62,,76,,83,,50,,50,,42,,50,,46,,21,,30,,36,
Dominica,0,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",1,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",0,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",1,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",1,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",2,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",5,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",4,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",4,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",2,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",3,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",1,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",4,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",3,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",3,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals"
Dominican Republic,942,,1276,,1360,,1000,,1098,,894,,913,,811,,765,,650,,523,,877,,1169,,1546,,1547,
Ecuador,265,,289,,312,,318,,334,,347,,358,,362,,368,,577,,450,,542,,633,,568,,576,
Egypt,11,,7,,9,,38,,32,,32,,52,,54,,59,,69,,80,,141,,152,,115,,172,
El Salvador,102,,115,,162,,183,,171,,158,,137,,133,,108,,119,,99,,121,,119,,115,,86,
Equatorial Guinea,...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication."
Eritrea,...,,...,,...,,...,,...,,...,,...,,...,,...,,...,,...,,...,,...,,...,,117,
Estonia,...,"Children estimates were not available at the time of publication.",...,"Children estimates were not available at the time of publication.",...,"Children estimates were not available at the time of publication.",...,"Children estimates were not available at the time of publication.",...,"Children estimates were not available at the time of publication.",...,"Children estimates were not available at the time of publication.",...,"Children estimates were not available at the time of publication.",...,"Children estimates were not available at the time of publication.",...,"Children estimates were not available at the time of publication.",...,"Children estimates were not available at the time of publication.",...,"Children estimates were not available at the time of publication.",...,"Children estimates were not available at the time of publication.",...,"Children estimates were not available at the time of publication.",...,"Children estimates were not available at the time of publication.",...,"Children estimates were not available at the time of publication."
Eswatini,9273,,10 590,,10 280,,10 332,,9491,,9598,,9964,,9260,,11 269,,10 598,,8901,,9443,,7488,,6924,,7182,
Ethiopia,7844,,10 302,,15 773,,17 988,,17 811,,18 973,,16 619,,15 046,,16 907,,16 192,,17 050,,13 842,,13 483,,13 350,,12 728,
Fiji,9,,17,,20,,11,,17,,14,,25,,39,,39,,22,,33,,31,,30,,28,,124,
Finland,...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication."
France,...,,...,,...,,...,,...,,...,,...,,...,,...,,...,,...,,...,,...,,...,,...,
Gabon,719,,930,,1138,,1449,,1403,,1665,,2028,,1829,,1904,,1941,,2251,,1694,,1757,,1509,,1668,
Gambia,824,,917,,700,,729,,723,,874,,751,,732,,695,,724,,577,,739,,694,,651,,638,
Georgia,33,"Children estimates were not available at the time of publication.",27,"Children estimates were not available at the time of publication.",24,"Children estimates were not available at the time of publication.",42,"Children estimates were not available at the time of publication.",57,"Children estimates were not available at the time of publication.",57,"Children estimates were not available at the time of publication.",45,"Children estimates were not available at the time of publication.",52,"Children estimates were not available at the time of publication.",31,"Children estimates were not available at the time of publication.",40,"Children estimates were not available at the time of publication.",40,"Children estimates were not available at the time of publication.",52,"Children estimates were not available at the time of publication.",36,"Children estimates were not available at the time of publication.",33,"Children estimates were not available at the time of publication.",44,"Children estimates were not available at the time of publication."
Germany,...,,...,,...,,...,,...,,...,,...,,...,,...,,...,,...,,...,,...,,...,,...,
Ghana,5845,,8057,,8957,,7266,,8299,,7813,,9680,,10 568,,11 360,,10 909,,11 302,,11 896,,12 002,,12 108,,13 105,
Greece,...,"Children estimates were not available at the time of publication.",...,"Children estimates were not available at the time of publication.",...,"Children estimates were not available at the time of publication.",...,"Children estimates were not available at the time of publication.",...,"Children estimates were not available at the time of publication.",...,"Children estimates were not available at the time of publication.",...,"Children estimates were not available at the time of publication.",...,"Children estimates were not available at the time of publication.",...,"Children estimates were not available at the time of publication.",...,"Children estimates were not available at the time of publication.",...,"Children estimates were not available at the time of publication.",...,"Children estimates were not available at the time of publication.",...,"Children estimates were not available at the time of publication.",...,"Children estimates were not available at the time of publication.",...,"Children estimates were not available at the time of publication."
Guatemala,284,,361,,256,,390,,333,,197,,237,,236,,273,,258,,247,,264,,298,,300,,...,
Guinea,1074,,1921,,1961,,3921,,0,,0,,0,,0,,0,,3041,,3366,,3536,,3211,,3802,,4443,
Guinea-Bissau,344,,490,,738,,1184,,1906,,1571,,1468,,1389,,1001,,1180,,1160,,820,,807,,767,,953,
Guyana,164,,186,,186,,235,,188,,193,,162,,137,,165,,180,,137,,197,,246,,199,,222,
Haiti,2419,,3856,,4893,,5226,,4504,,4383,,4075,,4459,,4909,,5243,,4448,,4223,,3834,,3664,,3238,
Honduras,265,,244,,244,,218,,205,,175,,174,,180,,202,,156,,134,,140,,135,,158,,124,
Hungary,...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication."
