Georgia,830,"Children estimates were not available at the time of publication.",1100,"Children estimates were not available at the time of publication.",1700,"Children estimates were not available at the time of publication.",2100,"Children estimates were not available at the time of publication.",2500,"Children estimates were not available at the time of publication.",3000,"Children estimates were not available at the time of publication.",3600,"Children estimates were not available at the time of publication.",4100,"Children estimates were not available at the time of publication.",4600,"Children estimates were not available at the time of publication.",5100,"Children estimates were not available at the time of publication.",5400,"Children estimates were not available at the time of publication.",5700,"Children estimates were not available at the time of publication.",6100,"Children estimates were not available at the time of publication.",6400,"Children estimates were not available at the time of publication.",6900,"Children estimates were not available at the time of publication."
Germany,45 000,,48 000,,51 000,,54 000,,58 000,,61 000,,64 000,,68 000,,72 000,,75 000,,78 000,,82 000,,85 000,,88 000,,...,
Ghana,41 000,,59 000,,70 000,,76 000,,84 000,,82 000,,92 000,,100 000,,110 000,,110 000,,120 000,,130 000,,150 000,,150 000,,160 000,
Greece,4500,"Children estimates were not available at the time of publication.",5000,"Children estimates were not available at the time of publication.",5500,"Children estimates were not available at the time of publication.",6300,"Children estimates were not available at the time of publication.",7000,"Children estimates were not available at the time of publication.",7800,"Children estimates were not available at the time of publication.",8700,"Children estimates were not available at the time of publication.",9200,"Children estimates were not available at the time of publication.",9500,"Children estimates were not available at the time of publication.",9800,"Children estimates were not available at the time of publication.",10 000,"Children estimates were not available at the time of publication.",10 000,"Children estimates were not available at the time of publication.",11 000,"Children estimates were not available at the time of publication.",11 000,"Children estimates were not available at the time of publication.",11 000,"Children estimates were not available at the time of publication."
Guatemala,12 000,,14 000,,15 000,,16 000,,17 000,,16 000,,17 000,,18 000,,20 000,,21 000,,21 000,,22 000,,24 000,,25 000,,26 000,
Guinea,20 000,,23 000,,28 000,,28 000,,32 000,,33 000,,37 000,,42 000,,43 000,,55 000,,62 000,,70 000,,82 000,,88 000,,99 000,
Guinea-Bissau,3800,,5100,,6500,,6900,,8100,,9500,,12 000,,12 000,,15 000,,17 000,,18 000,,20 000,,22 000,,22 000,,27 000,
Guyana,3100,,3400,,3700,,4100,,4300,,4500,,4900,,5200,,5600,,6000,,5900,,6100,,6400,,6800,,7300,
Haiti,15 000,,19 000,,24 000,,29 000,,34 000,,38 000,,36 000,,60 000,,62 000,,81 000,,100 000,,110 000,,110 000,,120 000,,130 000,
Honduras,7700,,8400,,9000,,9600,,9900,,10 000,,11 000,,12 000,,12 000,,12 000,,12 000,,12 000,,13 000,,13 000,,14 000,
Hungary,...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication."
