Country,2015,2015_lower, 2015_upper, 2015_Footnote, 2016,2016_lower, 2016_upper, 2016_Footnote, 2017,2017_lower, 2017_upper, 2017_Footnote, 2018,2018_lower, 2018_upper, 2018_Footnote, 2019,2019_lower, 2019_upper, 2019_Footnote, 2020,2020_lower, 2020_upper, 2020_Footnote, 2021,2021_lower, 2021_upper, 2021_Footnote, 2022,2022_lower, 2022_upper, 2022_Footnote, 2023,2023_lower, 2023_upper, 2023_Footnote, 2024,2024_lower, 2024_upper, 2024_Footnote
Estonia,,,,,,,,,>98 ,89 , >98,"Children estimates were not available at the time of publication.",>98 ,89 , >98,"Children estimates were not available at the time of publication.",>98 ,90 , >98,"Children estimates were not available at the time of publication.",>98 ,90 , >98,"Children estimates were not available at the time of publication.",>98 ,90 , >98,"Children estimates were not available at the time of publication.",>98 ,90 , >98,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication."
Eswatini,92 ,86 , >98,,95 ,89 , >98,,96 ,90 , >98,,96 ,90 , >98,,97 ,91 , >98,,97 ,91 , >98,,96 ,90 , >98,,98 ,91 , >98,,98 ,91 , >98,,>98 ,91 , >98,
Ethiopia,75 ,62 , 90,,79 ,66 , 95,,82 ,69 , >98,,85 ,71 , >98,,87 ,72 , >98,,88 ,73 , >98,,88 ,74 , >98,,90 ,75 , >98,,92 ,77 , >98,,94 ,78 , >98,
Fiji,33 ,18 , 46,,31 ,18 , 40,,29 ,19 , 37,,28 ,19 , 35,,26 ,20 , 32,,24 ,20 , 29,,24 ,20 , 30,,20 ,16 , 26,,23 ,18 , 31,,36 ,27 , 54,
Finland,,,,,,,,,,,,,,,,,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",,,,,,,,,... ,... , ...,"Estimates were not available at the time of publication.",,,,
France,,,,,,,,,,,,,,,,,,,,,,,,,94 ,81 , >98,,94 ,82 , >98,,,,,,,,,
Gabon,69 ,59 , 80,,70 ,61 , 82,,70 ,61 , 82,,71 ,61 , 82,,72 ,62 , 84,,72 ,62 , 86,,73 ,62 , 88,,74 ,63 , 90,,76 ,63 , 93,,77 ,65 , 95,
Gambia,44 ,35 , 55,,47 ,38 , 59,,49 ,39 , 63,,51 ,41 , 66,,54 ,43 , 68,,55 ,43 , 70,,57 ,45 , 71,,59 ,47 , 74,,61 ,48 , 78,,64 ,50 , 81,
Georgia,86 ,80 , 92,"Children estimates were not available at the time of publication.",88 ,82 , 94,"Children estimates were not available at the time of publication.",84 ,79 , 89,"Children estimates were not available at the time of publication.",83 ,78 , 88,"Children estimates were not available at the time of publication.",82 ,77 , 87,"Children estimates were not available at the time of publication.",83 ,78 , 88,"Children estimates were not available at the time of publication.",82 ,78 , 87,"Children estimates were not available at the time of publication.",82 ,77 , 86,"Children estimates were not available at the time of publication.",84 ,79 , 88,"Children estimates were not available at the time of publication.",86 ,81 , 90,"Children estimates were not available at the time of publication."
Germany,88 ,71 , >98,,89 ,72 , >98,,90 ,73 , >98,,91 ,73 , >98,,91 ,74 , >98,,92 ,74 , >98,,92 ,75 , >98,,93 ,76 , >98,,93 ,76 , >98,,,,,
Ghana,51 ,45 , 59,,53 ,46 , 61,,55 ,48 , 63,,57 ,50 , 66,,59 ,51 , 68,,61 ,53 , 71,,63 ,54 , 74,,65 ,56 , 77,,66 ,57 , 79,,68 ,59 , 81,
Greece,85 ,71 , 93,"Children estimates were not available at the time of publication.",85 ,72 , 93,"Children estimates were not available at the time of publication.",86 ,72 , 94,"Children estimates were not available at the time of publication.",87 ,73 , 96,"Children estimates were not available at the time of publication.",87 ,74 , 97,"Children estimates were not available at the time of publication.",88 ,74 , 97,"Children estimates were not available at the time of publication.",88 ,74 , 98,"Children estimates were not available at the time of publication.",89 ,74 , >98,"Children estimates were not available at the time of publication.",89 ,75 , >98,"Children estimates were not available at the time of publication.",90 ,75 , >98,"Children estimates were not available at the time of publication."
Guatemala,71 ,58 , 89,,73 ,60 , 91,,76 ,63 , 95,,77 ,64 , 97,,79 ,66 , >98,,83 ,69 , >98,,87 ,72 , >98,,92 ,76 , >98,,94 ,78 , >98,,... ,... , ...,
Guinea,38 ,33 , 43,,40 ,35 , 45,,43 ,38 , 49,,45 ,39 , 52,,50 ,44 , 58,,56 ,48 , 65,,59 ,50 , 69,,65 ,55 , 76,,71 ,60 , 84,,76 ,64 , 90,
Guinea-Bissau,46 ,41 , 52,,50 ,44 , 56,,53 ,46 , 60,,57 ,49 , 64,,62 ,54 , 70,,67 ,58 , 76,,69 ,60 , 79,,73 ,63 , 85,,77 ,65 , 88,,83 ,70 , 95,
Guyana,72 ,52 , >98,,81 ,58 , >98,,86 ,61 , >98,,85 ,60 , >98,,90 ,65 , >98,,91 ,66 , >98,,93 ,68 , >98,,93 ,68 , >98,,92 ,68 , >98,,92 ,68 , >98,
Haiti,61 ,56 , 69,,63 ,58 , 71,,67 ,61 , 75,,69 ,62 , 77,,71 ,65 , 80,,77 ,70 , 87,,79 ,71 , 90,,81 ,72 , 93,,83 ,73 , 95,,87 ,77 , >98,
Honduras,,,,,66 ,60 , 72,,70 ,64 , 77,,71 ,65 , 78,,74 ,66 , 81,,75 ,68 , 83,,78 ,70 , 86,,79 ,71 , 88,,79 ,71 , 89,,83 ,74 , 93,
Iceland,,,,,,,,,78 ,64 , 90,"Children estimates were not available at the time of publication.",83 ,69 , 95,"Children estimates were not available at the time of publication.",,,,,86 ,72 , >98,"Children estimates were not available at the time of publication.",,,,,85 ,70 , >98,"Children estimates were not available at the time of publication.",90 ,73 , >98,"Children estimates were not available at the time of publication.",88 ,71 , >98,"Children estimates were not available at the time of publication."
India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76 ,65 , 91,,80 ,68 , 96,,84 ,71 , >98,
Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60 ,55 , 66,
Iran (Islamic Republic of),... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,62 ,49 , 81,
Iraq,28 ,23 , 34,"Children estimates were not available at the time of publication.",33 ,28 , 41,"Children estimates were not available at the time of publication.",41 ,34 , 51,"Children estimates were not available at the time of publication.",49 ,40 , 61,"Children estimates were not available at the time of publication.",60 ,48 , 76,"Children estimates were not available at the time of publication.",70 ,54 , 90,"Children estimates were not available at the time of publication.",77 ,59 , >98,"Children estimates were not available at the time of publication.",80 ,62 , >98,"Children estimates were not available at the time of publication.",81 ,61 , >98,"Children estimates were not available at the time of publication.",84 ,62 , >98,"Children estimates were not available at the time of publication."
Ireland,,,,,,,,,90 ,79 , 97,,91 ,80 , >98,,,,,,,,,,,,,,91 ,80 , >98,,89 ,79 , >98,,,,,
Israel,,,,,,,,,,,,,,,,,,,,,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication."
Italy,,,,,88 ,74 , 98,,89 ,75 , >98,,92 ,77 , >98,,94 ,79 , >98,,93 ,78 , >98,,92 ,77 , >98,,92 ,77 , >98,,91 ,76 , >98,,,,,
Jamaica,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,
