Country,2015,2015_lower, 2015_upper, 2015_Footnote, 2016,2016_lower, 2016_upper, 2016_Footnote, 2017,2017_lower, 2017_upper, 2017_Footnote, 2018,2018_lower, 2018_upper, 2018_Footnote, 2019,2019_lower, 2019_upper, 2019_Footnote, 2020,2020_lower, 2020_upper, 2020_Footnote, 2021,2021_lower, 2021_upper, 2021_Footnote, 2022,2022_lower, 2022_upper, 2022_Footnote, 2023,2023_lower, 2023_upper, 2023_Footnote, 2024,2024_lower, 2024_upper, 2024_Footnote
Estonia,,,,,,,,,,,,,64 ,58 , 69,"Children estimates were not available at the time of publication.",,,,,68 ,62 , 74,"Children estimates were not available at the time of publication.",67 ,61 , 74,"Children estimates were not available at the time of publication.",66 ,60 , 73,"Children estimates were not available at the time of publication.",,,,,,,,
Eswatini,,,,,70 ,66 , 75,,71 ,66 , 76,,73 ,68 , 79,,82 ,76 , 88,,86 ,80 , 93,,86 ,80 , 94,,88 ,82 , 96,,89 ,83 , >98,,92 ,85 , >98,
Ethiopia,,,,,,,,,... ,... , ...,,64 ,53 , 77,,67 ,56 , 80,,72 ,60 , 87,,75 ,62 , 90,,80 ,67 , 96,,82 ,68 , 98,,86 ,72 , >98,
Fiji,,,,,,,,,,,,,... ,... , ...,,17 ,13 , 20,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,
Finland,,,,,,,,,,,,,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication."
France,85 ,73 , 94,,86 ,74 , 95,,86 ,74 , 94,,85 ,73 , 94,,85 ,74 , 94,,86 ,74 , 95,,89 ,77 , 98,,89 ,78 , >98,,,,,,,,,
Gabon,,,,,,,,,,,,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,
Gambia,,,,,,,,,,,,,,,,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,25 ,19 , 31,,35 ,27 , 45,
Georgia,52 ,48 , 56,"Children estimates were not available at the time of publication.",59 ,55 , 63,"Children estimates were not available at the time of publication.",61 ,57 , 65,"Children estimates were not available at the time of publication.",62 ,58 , 65,"Children estimates were not available at the time of publication.",65 ,61 , 69,"Children estimates were not available at the time of publication.",71 ,67 , 75,"Children estimates were not available at the time of publication.",67 ,63 , 71,"Children estimates were not available at the time of publication.",64 ,61 , 68,"Children estimates were not available at the time of publication.",66 ,63 , 70,"Children estimates were not available at the time of publication.",68 ,64 , 71,"Children estimates were not available at the time of publication."
Germany,77 ,62 , 90,,80 ,64 , 93,,82 ,66 , 96,,84 ,68 , >98,,86 ,69 , >98,,88 ,71 , >98,,90 ,73 , >98,,,,,,,,,,,,,
Ghana,,,,,,,,,,,,,22 ,19 , 25,,23 ,20 , 27,,27 ,23 , 32,,32 ,27 , 37,,30 ,26 , 36,,40 ,35 , 48,,42 ,36 , 50,
Greece,,,,,,,,,,,,,,,,,... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",63 ,53 , 71,"Children estimates were not available at the time of publication.",54 ,45 , 61,"Children estimates were not available at the time of publication."
Guatemala,... ,... , ...,,48 ,40 , 60,,53 ,44 , 66,,60 ,50 , 75,,64 ,53 , 80,,62 ,52 , 78,,67 ,56 , 84,,70 ,58 , 87,,68 ,57 , 85,,66 ,55 , 83,
Guinea,,,,,,,,,,,,,,,,,,,,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,
Guinea-Bissau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,... ,... , ...,,... ,... , ...,,... ,... , ...,
Guyana,,,,,50 ,36 , 77,,52 ,37 , 79,,54 ,38 , 81,,57 ,41 , 85,,55 ,40 , 82,,... ,... , ...,,... ,... , ...,,58 ,42 , 83,,65 ,47 , 93,
Haiti,,,,,... ,... , ...,,35 ,32 , 39,,38 ,34 , 43,,49 ,45 , 56,,63 ,57 , 72,,68 ,60 , 77,,70 ,62 , 80,,70 ,62 , 81,,74 ,65 , 87,
Honduras,,,,,46 ,42 , 50,,48 ,44 , 53,,50 ,46 , 56,,54 ,49 , 60,,63 ,57 , 69,,65 ,58 , 72,,65 ,58 , 72,,67 ,60 , 75,,70 ,63 , 79,
Iceland,,,,,,,,,75 ,62 , 86,"Children estimates were not available at the time of publication.",80 ,66 , 91,"Children estimates were not available at the time of publication.",,,,,,,,,,,,,80 ,67 , 97,"Children estimates were not available at the time of publication.",89 ,72 , >98,"Children estimates were not available at the time of publication.",88 ,71 , >98,"Children estimates were not available at the time of publication."
India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61 ,52 , 73,,67 ,57 , 81,,70 ,59 , 84,
Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,... ,... , ...,,... ,... , ...,,29 ,26 , 32,,38 ,35 , 42,
Iran (Islamic Republic of),,,,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,45 ,36 , 59,
Iraq,,,,,,,,,,,,,,,,,,,,,... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication."
Ireland,,,,,,,,,77 ,68 , 84,,78 ,68 , 85,,81 ,71 , 88,,84 ,73 , 92,,84 ,73 , 93,,89 ,78 , >98,,88 ,78 , >98,,,,,
Italy,,,,,,,,,,,,,,,,,81 ,68 , 91,,80 ,67 , 91,,80 ,67 , 90,,84 ,70 , 95,,84 ,70 , 95,,,,,
Jamaica,22 ,21 , 24,,24 ,23 , 27,,28 ,26 , 31,,32 ,30 , 36,,39 ,37 , 43,,38 ,36 , 42,,43 ,40 , 48,,47 ,44 , 52,,48 ,45 , 53,,50 ,46 , 55,
Japan,... ,... , ...,"Estimates were not available at the time of publication.",,,,,,,,,,,,,,,,,,,,,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",,,,
Jordan,29 ,26 , 31,"Children estimates were not available at the time of publication.",35 ,32 , 38,"Children estimates were not available at the time of publication.",42 ,39 , 46,"Children estimates were not available at the time of publication.",47 ,44 , 52,"Children estimates were not available at the time of publication.",49 ,45 , 54,"Children estimates were not available at the time of publication.",50 ,46 , 55,"Children estimates were not available at the time of publication.",,,,,47 ,43 , 51,"Children estimates were not available at the time of publication.",55 ,50 , 60,"Children estimates were not available at the time of publication.",62 ,57 , 69,"Children estimates were not available at the time of publication."
Kazakhstan,16 ,15 , 17,,18 ,17 , 19,,27 ,26 , 29,,32 ,30 , 34,,41 ,39 , 44,,47 ,44 , 51,,52 ,48 , 56,,57 ,53 , 61,,65 ,60 , 70,,70 ,64 , 76,
Kenya,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,71 ,64 , 82,,73 ,66 , 84,,... ,... , ...,,80 ,72 , 92,,83 ,75 , 96,,83 ,74 , 95,
