Country,2010,2010_lower, 2010_upper, 2011,2011_lower, 2011_upper, 2012,2012_lower, 2012_upper, 2013,2013_lower, 2013_upper, 2014,2014_lower, 2014_upper, 2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper, 2019,2019_lower, 2019_upper, 2020,2020_lower, 2020_upper, 2021,2021_lower, 2021_upper, 2022,2022_lower, 2022_upper, 2023,2023_lower, 2023_upper, 2024,2024_lower, 2024_upper
Ethiopia,52 ,40 , 66,20 ,15 , 25,30 ,23 , 38,30 ,23 , 38,31 ,24 , 39,39 ,30 , 49,57 ,44 , 72,49 ,38 , 62,64 ,49 , 80,54 ,42 , 68,44 ,34 , 56,41 ,31 , 52,46 ,35 , 57,50 ,39 , 63,51 ,40 , 65
Fiji,>98 ,>98 , >98,>98 ,88 , >98,39 ,23 , >98,51 ,33 , >98,25 ,17 , 54,42 ,31 , 79,18 ,14 , 30,22 ,18 , 35,,,,,,,14 ,11 , 17,31 ,26 , 39,25 ,19 , 31,24 ,18 , 32,58 ,38 , 78
Gabon,4 ,4 , 5,20 ,17 , 24,22 ,18 , 27,13 ,11 , 16,17 ,14 , 21,22 ,18 , 27,,,,4 ,3 , 4,16 ,13 , 21,20 ,16 , 25,2 ,2 , 3,11 ,8 , 14,30 ,23 , 38,24 ,17 , 31,5 ,3 , 6
Gambia,,,,,,,,,,,,,7 ,6 , 9,11 ,8 , 14,,,,,,,28 ,21 , 35,20 ,15 , 25,18 ,14 , 23,13 ,10 , 17,32 ,25 , 41,30 ,23 , 39,40 ,30 , 52
Georgia,>98 ,>98 , >98,>98 ,>98 , >98,96 ,88 , >98,85 ,79 , 93,98 ,90 , >98,>98 ,92 , >98,>98 ,96 , >98,>98 ,>98 , >98,66 ,61 , 70,87 ,81 , 93,90 ,84 , 96,>98 ,94 , >98,78 ,73 , 84,68 ,64 , 75,91 ,85 , 98
Ghana,<1 ,<1 , 1,13 ,11 , 15,11 ,9 , 13,23 ,20 , 28,19 ,16 , 23,25 ,21 , 30,38 ,32 , 45,56 ,48 , 67,67 ,57 , 82,72 ,61 , 86,53 ,45 , 64,32 ,28 , 39,31 ,27 , 38,35 ,29 , 42,34 ,28 , 41
Greece,,,,,,,54 ,48 , 61,66 ,60 , 75,68 ,61 , 76,68 ,62 , 76,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,,,,37 ,30 , 47,35 ,27 , 44,25 ,19 , 31,35 ,28 , 43,21 ,16 , 27,37 ,29 , 47,42 ,33 , 53,43 ,34 , 54,59 ,46 , 73,62 ,48 , 76,68 ,52 , 83,71 ,54 , 86,46 ,36 , 57,51 ,40 , 62
Guinea,5 ,4 , 6,6 ,5 , 8,<1 ,<1 , <1,6 ,5 , 7,7 ,6 , 9,4 ,3 , 5,40 ,35 , 48,12 ,10 , 14,13 ,11 , 16,25 ,21 , 31,40 ,34 , 50,38 ,32 , 47,45 ,37 , 56,<1 ,<1 , <1,50 ,40 , 63
Guinea-Bissau,,,,<1 ,<1 , <1,,,,6 ,6 , 8,30 ,25 , 35,44 ,38 , 52,,,,38 ,32 , 45,37 ,32 , 44,,,,25 ,21 , 30,,,,,,,,,,,,
