Country,2010,2010_lower, 2010_upper, 2010_Footnote, 2011,2011_lower, 2011_upper, 2011_Footnote, 2012,2012_lower, 2012_upper, 2012_Footnote, 2013,2013_lower, 2013_upper, 2013_Footnote, 2014,2014_lower, 2014_upper, 2014_Footnote, 2015,2015_lower, 2015_upper, 2015_Footnote, 2016,2016_lower, 2016_upper, 2016_Footnote, 2017,2017_lower, 2017_upper, 2017_Footnote, 2018,2018_lower, 2018_upper, 2018_Footnote, 2019,2019_lower, 2019_upper, 2019_Footnote, 2020,2020_lower, 2020_upper, 2020_Footnote, 2021,2021_lower, 2021_upper, 2021_Footnote, 2022,2022_lower, 2022_upper, 2022_Footnote, 2023,2023_lower, 2023_upper, 2023_Footnote, 2024,2024_lower, 2024_upper, 2024_Footnote, 2024,2024_Footnote
Indonesia,49 000 ,44 000 , 54 000,,49 000 ,44 000 , 54 000,,48 000 ,43 000 , 52 000,,45 000 ,41 000 , 50 000,,43 000 ,39 000 , 47 000,,41 000 ,37 000 , 45 000,,39 000 ,36 000 , 43 000,,38 000 ,34 000 , 41 000,,36 000 ,32 000 , 39 000,,34 000 ,30 000 , 37 000,,32 000 ,29 000 , 35 000,,31 000 ,28 000 , 34 000,,29 000 ,26 000 , 32 000,,27 000 ,25 000 , 30 000,,25 000 ,23 000 , 28 000,,-49,
Iran (Islamic Republic of),... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,2100 ,1100 , 4400,,-49,
Iraq,<100 ,<100 , <200,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <200,"Children estimates were not available at the time of publication.",<100 ,<100 , <200,"Children estimates were not available at the time of publication.",<200 ,<100 , <200,"Children estimates were not available at the time of publication.",<200 ,<100 , <200,"Children estimates were not available at the time of publication.",<200 ,<200 , <500,"Children estimates were not available at the time of publication.",<500 ,<200 , <500,"Children estimates were not available at the time of publication.",<500 ,<500 , <500,"Children estimates were not available at the time of publication.",<500 ,<500 , 650,"Children estimates were not available at the time of publication.",590 ,<500 , 850,"Children estimates were not available at the time of publication.",740 ,500 , 1000,"Children estimates were not available at the time of publication.",971,"Children estimates were not available at the time of publication."
Ireland,<500 ,<500 , <500,,<500 ,<500 , <500,,<500 ,<500 , <500,,<500 ,<500 , <500,,<500 ,<500 , <500,,<500 ,<500 , <500,,<500 ,<500 , <500,,<500 ,<500 , <500,,<500 ,<200 , <500,,<500 ,<200 , <500,,<500 ,<200 , <500,,<200 ,<200 , <500,,<200 ,<200 , <500,,<200 ,<200 , <500,,<200 ,<100 , <500,,-44,
Israel,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication."
Italy,4500 ,3500 , 5200,,4500 ,3500 , 5200,,4400 ,3500 , 5200,,4400 ,3400 , 5200,,4400 ,3400 , 5200,,4400 ,3300 , 5100,,4300 ,3300 , 5100,,4300 ,3200 , 5000,,4200 ,3100 , 5000,,4200 ,3100 , 5000,,4100 ,3000 , 4900,,4100 ,2900 , 4900,,4000 ,2900 , 4900,,4000 ,2900 , 4800,,4000 ,2800 , 4800,,-11,
Jamaica,1700 ,1500 , 2000,,1700 ,1400 , 2000,,1600 ,1400 , 1900,,1500 ,1300 , 1800,,1300 ,1100 , 1600,,1200 ,1100 , 1500,,1200 ,990 , 1400,,1200 ,980 , 1400,,1300 ,1100 , 1600,,1200 ,1000 , 1500,,1200 ,1000 , 1500,,1300 ,1100 , 1600,,1200 ,980 , 1500,,1300 ,1000 , 1600,,1100 ,900 , 1500,,-35,
Japan,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication."
Jordan,<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",57,"Children estimates were not available at the time of publication."
Kazakhstan,2300 ,2100 , 2500,,2500 ,2300 , 2800,,2700 ,2500 , 3000,,2800 ,2600 , 3100,,2800 ,2600 , 3100,,2900 ,2600 , 3100,,2900 ,2600 , 3200,,2700 ,2400 , 3100,,2600 ,2200 , 3000,,2600 ,2200 , 3000,,2600 ,2200 , 3100,,2500 ,2100 , 3000,,2300 ,2000 , 2900,,2500 ,2100 , 3000,,2300 ,1900 , 2800,,-2,
Kenya,67 000 ,43 000 , 100 000,,59 000 ,38 000 , 92 000,,57 000 ,36 000 , 88 000,,52 000 ,33 000 , 81 000,,46 000 ,30 000 , 72 000,,38 000 ,24 000 , 59 000,,32 000 ,21 000 , 50 000,,30 000 ,19 000 , 46 000,,25 000 ,16 000 , 39 000,,25 000 ,16 000 , 38 000,,24 000 ,15 000 , 37 000,,24 000 ,15 000 , 37 000,,23 000 ,15 000 , 36 000,,20 000 ,13 000 , 31 000,,20 000 ,13 000 , 31 000,,-70,
Kiribati,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,...,
Kuwait,... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",...,"Children estimates were not available at the time of publication."
Kyrgyzstan,750 ,690 , 840,,830 ,760 , 900,,880 ,810 , 960,,850 ,780 , 930,,860 ,780 , 930,,850 ,770 , 930,,860 ,780 , 940,,830 ,750 , 910,,850 ,760 , 930,,860 ,770 , 940,,860 ,770 , 940,,870 ,780 , 960,,890 ,790 , 970,,910 ,810 , 990,,930 ,830 , 1000,,23,
Lao People's Democratic Republic,1100 ,970 , 1200,,1100 ,970 , 1200,,1100 ,1000 , 1200,,1200 ,1000 , 1300,,1200 ,1100 , 1300,,1200 ,1100 , 1300,,1200 ,1100 , 1400,,1300 ,1100 , 1400,,1300 ,1200 , 1400,,1300 ,1200 , 1400,,1300 ,1100 , 1400,,1300 ,1100 , 1400,,1300 ,1200 , 1400,,1300 ,1100 , 1400,,1300 ,1100 , 1400,,16,
Latvia,540 ,<500 , 610,"Children estimates were not available at the time of publication.",520 ,<500 , 590,"Children estimates were not available at the time of publication.",510 ,<500 , 570,"Children estimates were not available at the time of publication.",500 ,<500 , 560,"Children estimates were not available at the time of publication.",<500 ,<500 , 540,"Children estimates were not available at the time of publication.",<500 ,<500 , <500,"Children estimates were not available at the time of publication.",<500 ,<500 , <500,"Children estimates were not available at the time of publication.",<500 ,<500 , <500,"Children estimates were not available at the time of publication.",<500 ,<500 , <500,"Children estimates were not available at the time of publication.",<500 ,<500 , <500,"Children estimates were not available at the time of publication.",<500 ,<500 , <500,"Children estimates were not available at the time of publication.",<500 ,<200 , <500,"Children estimates were not available at the time of publication.",<500 ,<200 , <500,"Children estimates were not available at the time of publication.",<200 ,<200 , <500,"Children estimates were not available at the time of publication.",<200 ,<200 , <500,"Children estimates were not available at the time of publication.",-69,"Children estimates were not available at the time of publication."
Lebanon,... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",...,"Children estimates were not available at the time of publication."
Lesotho,19 000 ,17 000 , 22 000,,18 000 ,15 000 , 21 000,,17 000 ,14 000 , 20 000,,17 000 ,14 000 , 20 000,,15 000 ,13 000 , 18 000,,13 000 ,11 000 , 16 000,,11 000 ,9200 , 13 000,,9100 ,7600 , 11 000,,7400 ,5900 , 9300,,6600 ,5300 , 8400,,5800 ,4600 , 7500,,4800 ,3700 , 6200,,3900 ,2900 , 5200,,3800 ,2700 , 5000,,3200 ,2300 , 4200,,-83,
Liberia,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,...,
Libya,<500 ,<500 , <500,,<500 ,<500 , <500,,<500 ,<500 , <500,,<500 ,<500 , <500,,<500 ,<500 , <500,,<500 ,<500 , <500,,<500 ,<500 , <500,,<500 ,<500 , <500,,<500 ,<500 , <500,,<500 ,<500 , <500,,<500 ,<500 , <500,,<500 ,<500 , <500,,<500 ,<500 , 530,,<500 ,<500 , 560,,<500 ,<500 , 570,,12,
Lithuania,<500 ,<500 , <500,"Children estimates were not available at the time of publication.",<500 ,<200 , <500,"Children estimates were not available at the time of publication.",<500 ,<200 , <500,"Children estimates were not available at the time of publication.",<500 ,<200 , <500,"Children estimates were not available at the time of publication.",<500 ,<200 , <500,"Children estimates were not available at the time of publication.",<500 ,<200 , <500,"Children estimates were not available at the time of publication.",<500 ,<200 , <500,"Children estimates were not available at the time of publication.",<200 ,<200 , <500,"Children estimates were not available at the time of publication.",<200 ,<200 , <500,"Children estimates were not available at the time of publication.",<200 ,<200 , <500,"Children estimates were not available at the time of publication.",<200 ,<200 , <500,"Children estimates were not available at the time of publication.",<200 ,<200 , <500,"Children estimates were not available at the time of publication.",<200 ,<100 , <500,"Children estimates were not available at the time of publication.",<200 ,<100 , <500,"Children estimates were not available at the time of publication.",<200 ,<100 , <500,"Children estimates were not available at the time of publication.",-33,"Children estimates were not available at the time of publication."
Luxembourg,<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",5,"Children estimates were not available at the time of publication."
Madagascar,4200 ,3300 , 5300,,4300 ,3400 , 5500,,4400 ,3400 , 5700,,4700 ,3600 , 6000,,5000 ,3700 , 6600,,5200 ,3900 , 7100,,5700 ,4200 , 7800,,6200 ,4500 , 8500,,6700 ,4800 , 9200,,7200 ,5200 , 9900,,7900 ,5500 , 11 000,,8600 ,6000 , 12 000,,9100 ,6200 , 13 000,,14 000 ,11 000 , 19 000,,16 000 ,12 000 , 22 000,,288,
Malawi,57 000 ,52 000 , 65 000,,54 000 ,49 000 , 62 000,,51 000 ,47 000 , 58 000,,48 000 ,44 000 , 55 000,,45 000 ,42 000 , 52 000,,40 000 ,37 000 , 47 000,,36 000 ,33 000 , 42 000,,30 000 ,27 000 , 36 000,,25 000 ,21 000 , 30 000,,22 000 ,19 000 , 27 000,,19 000 ,16 000 , 24 000,,16 000 ,13 000 , 21 000,,15 000 ,12 000 , 19 000,,13 000 ,10 000 , 17 000,,12 000 ,9300 , 16 000,,-79,
Malaysia,5700 ,5200 , 6300,,5700 ,5100 , 6200,,5600 ,5100 , 6100,,5400 ,4900 , 5800,,5000 ,4500 , 5500,,4600 ,4200 , 5000,,4100 ,3700 , 4500,,3600 ,3300 , 4000,,3400 ,3000 , 3700,,3200 ,2900 , 3600,,3100 ,2700 , 3400,,2900 ,2600 , 3300,,2900 ,2500 , 3200,,2800 ,2500 , 3100,,2700 ,2400 , 3000,,-52,
Maldives,<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",299,"Children estimates were not available at the time of publication."
Mali,7800 ,6400 , 11 000,,7400 ,5800 , 10 000,,6700 ,5300 , 9400,,7500 ,5900 , 10 000,,6900 ,5500 , 9400,,6700 ,5100 , 9000,,6500 ,5100 , 8800,,6200 ,4700 , 8500,,6100 ,4600 , 8400,,5700 ,4300 , 8100,,5300 ,3900 , 7600,,5100 ,3600 , 7300,,4800 ,3300 , 7000,,4300 ,3000 , 6400,,4000 ,2900 , 6200,,-49,
Malta,<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",45,"Children estimates were not available at the time of publication."
Marshall Islands,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,...,
Mauritania,<500 ,<200 , 520,,<500 ,<200 , <500,,<500 ,<200 , <500,,<500 ,<200 , <500,,<200 ,<100 , <500,,<200 ,<100 , <500,,<500 ,<200 , <500,,<500 ,<200 , <500,,<200 ,<100 , <500,,<200 ,<100 , <500,,<200 ,<100 , <500,,<200 ,<100 , <500,,<500 ,<100 , <500,,<200 ,<200 , <500,,<200 ,<200 , <500,,-42,
Mauritius,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication."
Mexico,18 000 ,15 000 , 19 000,,18 000 ,16 000 , 20 000,,18 000 ,16 000 , 20 000,,19 000 ,16 000 , 21 000,,19 000 ,17 000 , 21 000,,19 000 ,17 000 , 22 000,,20 000 ,17 000 , 22 000,,20 000 ,17 000 , 23 000,,20 000 ,17 000 , 23 000,,21 000 ,17 000 , 24 000,,21 000 ,17 000 , 25 000,,21 000 ,17 000 , 25 000,,21 000 ,17 000 , 26 000,,21 000 ,16 000 , 27 000,,22 000 ,16 000 , 28 000,,23,
Mongolia,<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",,
Montenegro,<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",63,"Children estimates were not available at the time of publication."
Morocco,1500 ,1400 , 1800,,1500 ,1300 , 1800,,1400 ,1200 , 1600,,1300 ,1100 , 1600,,1200 ,1000 , 1500,,1200 ,1000 , 1500,,1200 ,1000 , 1500,,1200 ,1000 , 1500,,1200 ,1000 , 1500,,1200 ,980 , 1500,,1200 ,950 , 1400,,1200 ,950 , 1400,,1000 ,840 , 1300,,1000 ,830 , 1300,,990 ,790 , 1300,,-36,
Mozambique,170 000 ,150 000 , 180 000,,160 000 ,150 000 , 180 000,,160 000 ,150 000 , 180 000,,160 000 ,150 000 , 180 000,,150 000 ,140 000 , 170 000,,150 000 ,140 000 , 170 000,,140 000 ,130 000 , 160 000,,130 000 ,120 000 , 150 000,,130 000 ,110 000 , 150 000,,130 000 ,110 000 , 150 000,,130 000 ,110 000 , 150 000,,120 000 ,100 000 , 140 000,,110 000 ,89 000 , 130 000,,100 000 ,81 000 , 120 000,,92 000 ,73 000 , 110 000,,-45,
Myanmar,18 000 ,16 000 , 19 000,,17 000 ,15 000 , 19 000,,17 000 ,15 000 , 18 000,,16 000 ,15 000 , 18 000,,16 000 ,14 000 , 17 000,,15 000 ,14 000 , 17 000,,14 000 ,13 000 , 16 000,,13 000 ,12 000 , 15 000,,12 000 ,11 000 , 14 000,,12 000 ,10 000 , 13 000,,11 000 ,9800 , 12 000,,12 000 ,10 000 , 13 000,,12 000 ,10 000 , 13 000,,11 000 ,9800 , 12 000,,11 000 ,9500 , 12 000,,-39,
Namibia,12 000 ,10 000 , 13 000,,11 000 ,10 000 , 13 000,,10 000 ,9100 , 12 000,,9100 ,7900 , 11 000,,8400 ,7300 , 10 000,,7900 ,6800 , 9900,,7600 ,6400 , 9700,,6900 ,5700 , 9000,,6100 ,5100 , 8000,,5100 ,4200 , 6700,,4500 ,3500 , 6000,,4900 ,3800 , 6500,,4400 ,3500 , 5800,,4700 ,3800 , 5900,,4500 ,3600 , 5800,,-61,
Nepal,2600 ,2300 , 2800,,2300 ,2100 , 2500,,2100 ,1900 , 2300,,1900 ,1700 , 2100,,1700 ,1600 , 1900,,1600 ,1500 , 1700,,1400 ,1300 , 1500,,1200 ,1100 , 1400,,1100 ,1000 , 1200,,1000 ,910 , 1100,,940 ,840 , 1000,,840 ,750 , 910,,760 ,680 , 830,,680 ,610 , 750,,620 ,550 , 680,,-76,
Netherlands,920 ,870 , 960,,850 ,820 , 890,,770 ,730 , 810,,690 ,640 , 720,,600 ,550 , 640,,510 ,<500 , 540,,<500 ,<500 , <500,,<500 ,<500 , <500,,<500 ,<500 , <500,,<500 ,<200 , <500,,<500 ,<100 , <500,,<500 ,<100 , <500,,<500 ,<200 , <500,,<500 ,<200 , <500,,... ,... , ...,,...,
New Zealand,<200 ,<200 , <200,"Children estimates were not available at the time of publication.",<200 ,<200 , <200,"Children estimates were not available at the time of publication.",<200 ,<200 , <200,"Children estimates were not available at the time of publication.",<200 ,<200 , <200,"Children estimates were not available at the time of publication.",<200 ,<200 , <200,"Children estimates were not available at the time of publication.",<200 ,<200 , <200,"Children estimates were not available at the time of publication.",<200 ,<100 , <200,"Children estimates were not available at the time of publication.",<200 ,<100 , <200,"Children estimates were not available at the time of publication.",<200 ,<100 , <200,"Children estimates were not available at the time of publication.",<200 ,<100 , <200,"Children estimates were not available at the time of publication.",<100 ,<100 , <200,"Children estimates were not available at the time of publication.",<100 ,<100 , <200,"Children estimates were not available at the time of publication.",<100 ,<100 , <200,"Children estimates were not available at the time of publication.",<100 ,<100 , <200,"Children estimates were not available at the time of publication.",<100 ,<100 , <200,"Children estimates were not available at the time of publication.",-58,"Children estimates were not available at the time of publication."
Nicaragua,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication."
Niger,1300 ,940 , 1900,,1400 ,1000 , 1900,,1300 ,990 , 1800,,1300 ,950 , 1700,,1200 ,890 , 1700,,1400 ,1100 , 1800,,1200 ,840 , 1500,,1300 ,1000 , 1700,,1400 ,1100 , 1700,,1400 ,1100 , 1700,,1400 ,1100 , 1800,,1400 ,1100 , 1800,,1300 ,980 , 1700,,1200 ,930 , 1600,,1200 ,880 , 1600,,-13,
Nigeria,150 000 ,130 000 , 170 000,,140 000 ,130 000 , 170 000,,130 000 ,120 000 , 160 000,,120 000 ,100 000 , 150 000,,110 000 ,97 000 , 140 000,,110 000 ,94 000 , 140 000,,100 000 ,85 000 , 130 000,,96 000 ,78 000 , 120 000,,93 000 ,76 000 , 120 000,,87 000 ,70 000 , 110 000,,78 000 ,62 000 , 100 000,,72 000 ,57 000 , 95 000,,63 000 ,48 000 , 84 000,,59 000 ,45 000 , 77 000,,48 000 ,35 000 , 66 000,,-67,
North Macedonia,<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",72,"Children estimates were not available at the time of publication."
