Country,2015,2015_Footnote, 2016,2016_Footnote, 2017,2017_Footnote, 2018,2018_Footnote, 2019,2019_Footnote, 2020,2020_Footnote, 2024,2024_Footnote
Kiribati,33,"Denominator is less than 50.",...,,...,,...,,...,,...,,,
Kuwait,,,29,,29,,30,,...,,...,,,
Kyrgyzstan,36,,31,,29,,35,,29,,32,,4,
Lao People's Democratic Republic,53,,...,,23,,5,,47,,49,,41,"Data reported 2022"
Latvia,,,30,,...,,...,,...,,...,,,
Lebanon,32,,32,,24,,26,,...,,...,,,
Lesotho,,,...,,...,,...,,24,,...,,,
Liberia,,,...,,...,,...,,...,,...,,,
Libya,,,...,,...,,...,,...,,...,,,
Liechtenstein,,,...,,...,,...,,...,,...,,,
Lithuania,31,,32,,...,,...,,...,,...,,,
Luxembourg,20,,15,,...,,...,,...,,...,,,
Madagascar,,,23,,...,,...,,...,,...,,,
Malawi,,,...,,...,,...,,...,,...,,,
Malaysia,42,,45,,36,,31,,39,,41,,,
Maldives,,,null,,...,,...,,...,,...,,,
Mali,35,,41,,34,,34,,35,,28,,,
Malta,,,33,,...,,...,,...,,...,,,
Marshall Islands,,,...,,...,,...,,...,,...,,,
Mauritania,54,,46,,...,,...,,...,,...,,,
Mauritius,23,,30,,28,,25,,35,,33,,36,"Data reported 2022"
Mexico,,,37,,36,,36,,...,,39,,,
Micronesia (Federated States of),,,...,,...,,...,,...,,...,,,
Monaco,,,...,,...,,...,,...,,...,,,
Mongolia,39,"Denominator is less than 50.",46,"Denominator less than 50.",41,"Denominator less than 50.",12,"Denominator less than 50.",33,"Denominator less than 50.",27,"Denominator less than 50.",,
Montenegro,33,"Denominator is less than 50.",13,,38,"Denominator less than 50.",58,"Denominator less than 50.",36,"Denominator less than 50.",20,"Denominator less than 50.",,
Morocco,50,,48,,27,,47,,46,,48,,,
Mozambique,,,...,,24,,23,,24,,29,,,
Myanmar,59,,43,,40,,38,,32,,...,,,
Namibia,,,...,,22,,...,,...,,...,,,
Nauru,,,...,,...,,...,,...,,...,,,
Nepal,46,,38,,22,,21,,30,,49,,,
Netherlands,,,...,,...,,...,,...,,...,,,
New Zealand,20,,23,,20,,17,,...,,32,,,
Nicaragua,45,,34,,18,,29,,35,,22,,,
Niger,,,16,,3,,12,,47,,35,,,
Nigeria,,,37,,34,,19,,34,,21,,,
North Macedonia,,,...,,17,"Denominator less than 50.",33,"Denominator less than 50.",18,,...,,,
Norway,,,...,,...,,...,,...,,...,,,
Oman,44,,42,,49,,45,,40,,42,,,
Pakistan,,,...,,...,,...,,...,,...,,,
Palau,,,...,,...,,...,,...,,...,,,
Panama,40,,41,,43,,36,,35,,38,,,
Papua New Guinea,,,54,,49,,50,,43,,...,,,
Paraguay,39,,40,,35,,36,,37,,44,,2,
Peru,,,...,,...,,15,,...,,16,,,
Philippines,59,,55,,50,,49,,50,,55,,,
Poland,,,...,,19,,...,,...,,...,,,
Portugal,,,...,,...,,...,,...,,...,,,
Qatar,,,...,,...,,16,"Denominator less than 50.",34,"Denominator less than 50.",29,,,
Republic of Korea,,,...,,...,,21,,...,,...,,,
Republic of Moldova,30,,36,,30,,29,,28,,34,,,
Romania,43,,38,,...,,...,,...,,...,,,
Russian Federation,,,...,,...,,...,,...,,...,,,
Rwanda,,,...,,...,,...,,...,,...,,,
Saint Kitts and Nevis,,,14,"Denominator less than 50.",44,"Denominator less than 50.",60,"Denominator less than 50.",43,"Denominator less than 50.",21,"Denominator less than 50.",22,"Data reported 2022"
Saint Lucia,39,"Denominator is less than 50.",...,,18,"Denominator less than 50.",38,"Denominator less than 50.",27,"Denominator less than 50.",19,"Denominator less than 50.",,
Saint Vincent and the Grenadines,,,...,,...,,...,,...,,...,,,
Samoa,,,...,,null,,null,,...,,...,,,
San Marino,,,...,,...,,...,,...,,...,,,
Sao Tome and Principe,84,,11,,13,,10,,...,,...,,,
Saudi Arabia,12,,...,,23,,22,,...,,...,,,
Senegal,38,,41,,48,,53,,48,,49,,,
Serbia,47,,37,,47,,43,,38,,...,,,
Seychelles,11,,13,,16,,19,,9,,17,,47,"Data reported 2022"
Sierra Leone,,,...,,...,,...,,null,,...,,34,
Singapore,42,,40,,39,,50,,23,,50,,,
Slovakia,19,,...,,...,,...,,...,,...,,,
Slovenia,38,"Denominator is less than 50.",...,,...,,...,,...,,...,,,
Solomon Islands,,,...,,...,,...,,...,,...,,,
Somalia,52,,58,,...,,53,,31,,44,,33,"Data reported 2022"
South Africa,,,14,,33,,32,,31,,31,,,
South Sudan,,,...,,...,,...,,...,,...,,,
Spain,,,...,,...,,...,,...,,...,,,
Sri Lanka,19,,27,,23,,28,,32,,30,,,
Sudan,,,...,,...,,...,,...,,...,,,
Suriname,33,,37,,28,,33,,30,,...,,,
Sweden,,,...,,...,,...,,...,,...,,,
Switzerland,,,...,,...,,...,,...,,...,,,
Syrian Arab Republic,,,...,,12,,null,,22,,...,,,
Tajikistan,41,,31,,36,,32,,32,,43,"Denominator less than 50.",,
Thailand,57,,56,,54,,53,,51,,53,,,
Timor-Leste,,,...,,...,,...,,23,,...,,,
Togo,,,...,,...,,...,,...,,...,,,
Tonga,,,...,,...,,...,,...,,...,,,
Trinidad and Tobago,30,,...,,29,,...,,...,,...,,,
Tunisia,39,,29,,48,,42,,25,,21,,,
Turkmenistan,,,...,,...,,...,,...,,...,,,
Tuvalu,,,...,,...,,...,,...,,...,,,
Türkiye,,,...,,...,,23,,23,,34,,,
Uganda,,,...,,...,,...,,...,,46,,,
Ukraine,34,,34,,37,,37,,35,,32,,12,
United Arab Emirates,16,"Denominator is less than 50.",23,,6,,17,,16,,14,,,
United Kingdom,40,,...,,...,,...,,...,,...,,,
United Republic of Tanzania,,,...,,...,,...,,...,,...,,,
United States,,,23,,...,,...,,...,,...,,,
Uruguay,,,...,,...,,22,,19,,10,,24,"Data reported 2022"
Uzbekistan,,,24,,25,,24,,...,,...,,,
Vanuatu,,,...,,...,,...,,...,,...,,,
Venezuela (Bolivarian Republic of),,,...,,...,,...,,10,,...,,,
Viet Nam,41,,...,,46,,...,,...,,...,,,
Yemen,,,...,,...,,...,,...,,...,,,
Zambia,,,...,,...,,...,,...,,...,,,
Zimbabwe,,,49,,...,,...,,...,,53,,,
